product_name,total_quantity_sold
Electra Amsterdam Fashion 3i Ladies' - 2017/2018,141
Electra Super Moto 8i - 2018,140
Electra Cruiser 1 - 2016/2017/2018,136
Electra Cruiser Lux 7D - 2018,129
Trek Fuel EX 7 29 - 2018,128
Electra Townie Commute 8D Ladies' - 2018,128
Trek 820 - 2018,126
Trek Emonda SLR 6 - 2018,124
Surly Troll Frameset - 2018,123
Heller Shagamaw GX1 - 2018,120
Electra Townie Go! 8i - 2017/2018,120
Trek Fuel EX 5 Plus - 2018,117
Trek Domane SL 8 Disc - 2018,117
Electra Cruiser 7D Tall - 2016/2018,116
Electra Townie Original 1 Ladies' - 2018,114
"Electra Starship 1 16"" - 2018",114
Trek Remedy 27.5 C Frameset - 2018,112
Electra Straight 8 3i - 2018,111
Electra Townie Original 21D - 2018,109
Trek Domane ALR 4 Disc Women's - 2018,108
Strider Sport 16 - 2018,108
Trek Procaliber Frameset - 2018,106
Trek Domane SL Frameset - 2018,105
Trek Domane AL 3 - 2018,104
Surly Straggler 650b - 2018,104
Heller Bloodhound Trail - 2018,104
Trek Domane ALR Frameset - 2018,102
Trek Crockett 7 Disc - 2018,102
Trek Super Commuter+ 8S - 2018,100
Trek Domane SL 6 Disc - 2018,100
Trek Domane ALR 5 Gravel - 2018,96
Trek Boone 5 Disc - 2018,96
Electra Queen of Hearts 3i - 2018,96
Electra Townie Original 3i EQ - 2017/2018,93
Trek X-Caliber 8 - 2018,92
Trek Precaliber 24 (7-Speed) - Boys - 2018,90
Trek Conduit+ - 2018,88
Electra Cruiser 7D Ladies' - 2016/2018,88
Trek Precaliber 24 21-speed Boy's - 2018,86
Trek Emonda SL 6 Disc - 2018,86
Trek Powerfly 7 FS - 2018,85
Trek CrossRip 1 - 2018,84
Surly Pack Rat Frameset - 2018,84
Electra Morningstar 3i Ladies' - 2018,84
Trek Precaliber 20 Boy's - 2018,82
Trek 1120 - 2018,82
Electra Cruiser Lux Fat Tire 7D - 2018,78
Electra Cruiser Lux 3i Ladies' - 2018,78
Electra Townie Commute 27D - 2018,75
Trek Crockett 5 Disc - 2018,74
Surly ECR - 2018,74
Electra Cruiser 7D - 2016/2017/2018,74
Trek Procaliber 6 - 2018,72
Trek Domane SLR 8 Disc - 2018,72
Trek Domane AL 2 - 2018,72
Electra Koa 3i Ladies' - 2018,72
Trek Powerfly 5 FS - 2018,70
Trek Domane AL 3 Women's - 2018,70
Trek Domane SL 5 Disc Women's - 2018,68
Electra Townie Original 7D EQ - 2018,68
Trek Precaliber 20 6-speed Girl's - 2018,67
Trek Powerfly 5 - 2018,67
Trek Domane SL Frameset Women's - 2018,65
Electra Cruiser Lux 7D Ladies' - 2018,64
Trek Domane SL 5 Women's - 2018,63
Trek Emonda SLR 8 - 2018,58
Trek Neko+ - 2018,56
Trek Precaliber 20 6-speed Boy's - 2018,54
Trek Marlin 6 - 2018,54
Electra Cruiser 1 Tall - 2016/2018,54
Electra Amsterdam Royal 8i Ladies - 2018,52
Trek Powerfly 5 Women's - 2018,51
Trek Precaliber 24 7-speed Girl's - 2018,50
Electra Townie Original 1 - 2018,48
Trek Procal AL Frameset - 2018,46
Electra Amsterdam Royal 8i - 2017/2018,45
Electra Soft Serve 1 (16-inch) - Girl's - 2018,44
Trek Madone 9 Frameset - 2018,43
Trek MT 201 - 2018,43
"Electra Superbolt 3i 20"" - 2018",43
Electra Straight 8 1 (16-inch) - Boy's - 2018,43
Trek Precaliber 24 21-speed Girl's - 2018,40
Trek Domane ALR 4 Disc - 2018,40
Trek Domane ALR 3 - 2018,40
Electra Cruiser 1 Ladies' - 2018,40
Trek Lift+ Lowstep - 2018,39
Trek Remedy 9.8 27.5 - 2018,38
Trek Superfly 20 - 2018,37
Trek Precaliber 16 Boy's - 2018,37
Surly ECR Frameset - 2018,37
Trek Domane SLR 6 - 2018,36
Trek Superfly 24 - 2017/2018,35
Trek Domane SLR Disc Frameset - 2018,35
Electra Townie Original 3i EQ Ladies' - 2018,34
Electra Townie Original 21D Ladies' - 2018,32
Trek Domane SLR 6 Disc - 2018,30
Trek CrossRip 2 - 2018,29
"Electra Treasure 3i 20"" - 2018",29
Electra Straight 8 1 (20-inch) - Boy's - 2018,24
Electra Tiger Shark 3i (20-inch) - Boys' - 2018,23
Trek Domane SLR Frameset - 2018,10
"Electra Superbolt 1 20"" - 2018",9
