store_name,product_name,total_quantity_sold
Baldwin Bikes,Trek Fuel EX 7 29 - 2018,4
Baldwin Bikes,Trek Fuel EX 8 29 - 2016,91
Baldwin Bikes,Trek Fuel EX 8 29 - 2018,4
Baldwin Bikes,Trek Fuel EX 8 29 XT - 2018,8
Baldwin Bikes,Trek Fuel EX 9.8 27.5 Plus - 2017,27
Baldwin Bikes,Trek Fuel EX 9.8 29 - 2017,22
Baldwin Bikes,Trek Girl's Kickster - 2017,17
Baldwin Bikes,Trek Kickster - 2018,6
Baldwin Bikes,Trek Kids' Neko - 2018,3
Baldwin Bikes,Trek Lift+ - 2018,3
Baldwin Bikes,Trek Lift+ Lowstep - 2018,2
Baldwin Bikes,Trek Madone 9.2 - 2017,23
Baldwin Bikes,Trek Marlin 5 - 2018,6
Baldwin Bikes,Trek Marlin 6 - 2018,1
Baldwin Bikes,Trek Neko+ - 2018,2
Baldwin Bikes,Trek Powerfly 5 - 2018,1
Baldwin Bikes,Trek Powerfly 5 FS - 2018,1
Baldwin Bikes,Trek Powerfly 5 Women's - 2018,2
Baldwin Bikes,Trek Powerfly 7 FS - 2018,5
Baldwin Bikes,Trek Powerfly 8 FS Plus - 2017,34
Baldwin Bikes,Trek Precaliber 12 Boy's - 2018,3
Baldwin Bikes,Trek Precaliber 12 Boys - 2017,23
Baldwin Bikes,Trek Precaliber 12 Girls - 2017,22
Baldwin Bikes,Trek Precaliber 16 Boy's - 2018,1
Baldwin Bikes,Trek Precaliber 16 Boys - 2017,19
Baldwin Bikes,Trek Precaliber 16 Girl's - 2018,5
Baldwin Bikes,Trek Precaliber 16 Girls - 2017,17
Baldwin Bikes,Trek Precaliber 20 6-speed Boy's - 2018,1
Baldwin Bikes,Trek Precaliber 20 6-speed Girl's - 2018,1
Baldwin Bikes,Trek Precaliber 20 Boy's - 2018,4
Baldwin Bikes,Trek Precaliber 20 Girl's - 2018,5
Baldwin Bikes,Trek Precaliber 24 (21-Speed) - Girls - 2017,31
Baldwin Bikes,Trek Precaliber 24 (7-Speed) - Boys - 2018,3
Baldwin Bikes,Trek Precaliber 24 21-speed Boy's - 2018,1
Baldwin Bikes,Trek Precaliber 24 21-speed Girl's - 2018,2
Baldwin Bikes,Trek Procaliber 6 - 2018,3
Baldwin Bikes,Trek Procaliber Frameset - 2018,1
Baldwin Bikes,Trek Remedy 27.5 C Frameset - 2018,1
Baldwin Bikes,Trek Remedy 29 Carbon Frameset - 2016,84
Baldwin Bikes,Trek Remedy 7 27.5 - 2018,2
Baldwin Bikes,Trek Remedy 9.8 - 2017,18
Baldwin Bikes,Trek Remedy 9.8 27.5 - 2018,1
Baldwin Bikes,Trek Session DH 27.5 Carbon Frameset - 2017,9
Baldwin Bikes,Trek Silque SLR 7 Women's - 2017,20
Baldwin Bikes,Trek Silque SLR 8 Women's - 2017,20
Baldwin Bikes,Trek Slash 8 27.5 - 2016,101
Baldwin Bikes,Trek Stache 5 - 2017,18
Baldwin Bikes,Trek Stache 5 - 2018,2
Baldwin Bikes,Trek Stache Carbon Frameset - 2018,3
Baldwin Bikes,Trek Super Commuter+ 7 - 2018,4
Baldwin Bikes,Trek Super Commuter+ 8S - 2018,6
Baldwin Bikes,Trek Superfly 20 - 2018,1
Baldwin Bikes,Trek Superfly 24 - 2017/2018,1
Baldwin Bikes,Trek Ticket S Frame - 2018,3
Baldwin Bikes,Trek Verve+ - 2018,2
Baldwin Bikes,Trek Verve+ Lowstep - 2018,3
Baldwin Bikes,Trek X-Caliber 7 - 2018,2
Baldwin Bikes,Trek X-Caliber 8 - 2017,23
Baldwin Bikes,Trek X-Caliber 8 - 2018,3
Baldwin Bikes,Trek X-Caliber Frameset - 2018,1
Baldwin Bikes,Trek XM700+ - 2018,5
Baldwin Bikes,Trek XM700+ Lowstep - 2018,2
Rowlett Bikes,Electra Amsterdam Fashion 3i Ladies' - 2017/2018,1
Rowlett Bikes,Electra Amsterdam Fashion 7i Ladies' - 2017,1
Rowlett Bikes,Electra Amsterdam Original 3i - 2015/2017,4
Rowlett Bikes,Electra Amsterdam Original 3i Ladies' - 2017,6
Rowlett Bikes,Electra Cruiser 1 (24-Inch) - 2016,41
Rowlett Bikes,Electra Cruiser 1 - 2016/2017/2018,2
Rowlett Bikes,Electra Cruiser 1 Ladies' - 2018,2
Rowlett Bikes,Electra Cruiser 1 Tall - 2016/2018,1
Rowlett Bikes,Electra Cruiser Lux 1 - 2016/2018,2
Rowlett Bikes,Electra Cruiser Lux 1 - 2017,6
Rowlett Bikes,Electra Cruiser Lux 1 Ladies' - 2018,1
Rowlett Bikes,Electra Cyclosaurus 1 (16-inch) - Boy's - 2018,1
Rowlett Bikes,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,29
Rowlett Bikes,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,12
Rowlett Bikes,"Electra Girl's Hawaii 1 16"" - 2017",10
Rowlett Bikes,Electra Glam Punk 3i Ladies' - 2017,2
Rowlett Bikes,Electra Moto 1 - 2016,10
Rowlett Bikes,Electra Moto 3i (20-inch) - Boy's - 2017,3
Rowlett Bikes,Electra Relic 3i - 2018,2
Rowlett Bikes,Electra Savannah 3i (20-inch) - Girl's - 2017,5
Rowlett Bikes,Electra Straight 8 3i (20-inch) - Boy's - 2017,1
Rowlett Bikes,Electra Straight 8 3i - 2018,1
Rowlett Bikes,Electra Sugar Skulls 1 (20-inch) - Girl's - 2017,5
Rowlett Bikes,Electra Super Moto 8i - 2018,2
Rowlett Bikes,Electra Tiger Shark 3i - 2018,1
Rowlett Bikes,Electra Townie 3i EQ (20-inch) - Boys' - 2017,5
Rowlett Bikes,Electra Townie Balloon 7i EQ - 2018,3
Rowlett Bikes,Electra Townie Commute 27D Ladies - 2018,4
Rowlett Bikes,Electra Townie Commute 8D Ladies' - 2018,4
Rowlett Bikes,Electra Townie Commute Go! - 2018,1
Rowlett Bikes,Electra Townie Original 21D - 2016,34
Rowlett Bikes,Electra Townie Original 21D EQ - 2017/2018,4
Rowlett Bikes,Electra Townie Original 21D EQ Ladies' - 2018,1
Rowlett Bikes,Electra Townie Original 3i EQ - 2017/2018,1
Rowlett Bikes,Electra Townie Original 7D - 2015/2016,11
Rowlett Bikes,Electra Townie Original 7D - 2017,15
Rowlett Bikes,Electra Townie Original 7D EQ - 2016,29
Rowlett Bikes,Electra Townie Original 7D EQ - Women's - 2016,10
Rowlett Bikes,"Electra Treasure 1 20"" - 2018",2
Rowlett Bikes,"Electra Under-The-Sea 1 16"" - 2018",2
Rowlett Bikes,Electra White Water 3i - 2018,1
Rowlett Bikes,Haro Downtown 16 - 2017,4
Rowlett Bikes,Haro Flightline One ST - 2017,2
Rowlett Bikes,Haro Flightline Two 26 Plus - 2017,5
Rowlett Bikes,Haro SR 1.1 - 2017,3
Rowlett Bikes,Haro SR 1.2 - 2017,4
Rowlett Bikes,Haro SR 1.3 - 2017,3
Rowlett Bikes,Haro Shift R3 - 2017,4
Rowlett Bikes,Haro Shredder 20 - 2017,2
Rowlett Bikes,Haro Shredder 20 Girls - 2017,4
Rowlett Bikes,Haro Shredder Pro 20 - 2017,1
Rowlett Bikes,Heller Shagamaw Frame - 2016,14
Rowlett Bikes,Pure Cycles Vine 8-Speed - 2016,15
Rowlett Bikes,Pure Cycles Western 3-Speed - Women's - 2015/2016,16
Rowlett Bikes,Pure Cycles William 3-Speed - 2016,16
Rowlett Bikes,Ritchey Timberwolf Frameset - 2016,5
Rowlett Bikes,Strider Classic 12 Balance Bike - 2018,4
Rowlett Bikes,Strider Strider 20 Sport - 2018,1
Rowlett Bikes,Sun Bicycles Atlas X-Type - 2017,6
Rowlett Bikes,Sun Bicycles Biscayne Tandem 7 - 2017,6
Rowlett Bikes,Sun Bicycles Biscayne Tandem CB - 2017,12
Rowlett Bikes,Sun Bicycles Boardwalk (24-inch Wheels) - 2017,1
Rowlett Bikes,Sun Bicycles Brickell Tandem 7 - 2017,2
Rowlett Bikes,Sun Bicycles Brickell Tandem CB - 2017,2
Rowlett Bikes,Sun Bicycles Cruz 3 - 2017,3
Rowlett Bikes,Sun Bicycles Cruz 3 - Women's - 2017,4
Rowlett Bikes,Sun Bicycles Cruz 7 - 2017,4
Rowlett Bikes,Sun Bicycles Cruz 7 - Women's - 2017,6
Rowlett Bikes,Sun Bicycles Drifter 7 - 2017,4
Rowlett Bikes,Sun Bicycles Drifter 7 - Women's - 2017,2
Rowlett Bikes,Sun Bicycles ElectroLite - 2017,3
Rowlett Bikes,Sun Bicycles Lil Bolt Type-R - 2017,10
Rowlett Bikes,Sun Bicycles Lil Kitt'n - 2017,6
Rowlett Bikes,Sun Bicycles Revolutions 24 - 2017,4
Rowlett Bikes,Sun Bicycles Revolutions 24 - Girl's - 2017,7
Rowlett Bikes,Sun Bicycles Spider 3i - 2017,9
Rowlett Bikes,Sun Bicycles Streamway - 2017,4
Rowlett Bikes,Sun Bicycles Streamway 3 - 2017,5
Rowlett Bikes,Sun Bicycles Streamway 7 - 2017,1
Rowlett Bikes,Surly Big Dummy Frameset - 2017,3
Rowlett Bikes,Surly Ice Cream Truck Frameset - 2016,20
Rowlett Bikes,Surly Ice Cream Truck Frameset - 2017,1
Rowlett Bikes,Surly Karate Monkey 27.5+ Frameset - 2017,5
Rowlett Bikes,Surly Krampus - 2018,1
Rowlett Bikes,Surly Ogre Frameset - 2017,1
Rowlett Bikes,Surly Steamroller - 2017,6
Rowlett Bikes,Surly Straggler - 2016,11
Rowlett Bikes,Surly Straggler 650b - 2016,12
Rowlett Bikes,Surly Troll Frameset - 2017,6
Rowlett Bikes,Surly Wednesday - 2017,2
Rowlett Bikes,Surly Wednesday Frameset - 2016,16
Rowlett Bikes,Surly Wednesday Frameset - 2017,12
Rowlett Bikes,Trek 1120 - 2018,2
Rowlett Bikes,Trek Boone 7 - 2017,6
Rowlett Bikes,Trek Boone Race Shop Limited - 2017,2
Rowlett Bikes,Trek Boy's Kickster - 2015/2017,4
Rowlett Bikes,Trek Conduit+ - 2016,13
Rowlett Bikes,Trek Crockett 7 Disc - 2018,1
Rowlett Bikes,Trek CrossRip 1 - 2018,2
Rowlett Bikes,Trek CrossRip 2 - 2018,1
Rowlett Bikes,Trek CrossRip+ - 2018,3
Rowlett Bikes,Trek Domane AL 2 - 2018,2
Rowlett Bikes,Trek Domane AL 3 Women's - 2018,3
Rowlett Bikes,Trek Domane ALR 5 Disc - 2018,1
Rowlett Bikes,Trek Domane ALR 5 Gravel - 2018,2
Rowlett Bikes,Trek Domane S 5 Disc - 2017,4
Rowlett Bikes,Trek Domane SL 5 Disc - 2018,3
Rowlett Bikes,Trek Domane SL 6 - 2017,7
Rowlett Bikes,Trek Domane SL 6 - 2018,2
Rowlett Bikes,Trek Domane SLR 6 Disc - 2017,10
Rowlett Bikes,Trek Dual Sport+ - 2018,2
Rowlett Bikes,Trek Emonda ALR 6 - 2018,2
Rowlett Bikes,Trek Emonda S 4 - 2017,4
Rowlett Bikes,Trek Emonda S 5 - 2017,2
Rowlett Bikes,Trek Emonda SL 7 - 2018,1
Rowlett Bikes,Trek Farley Alloy Frameset - 2017,1
Rowlett Bikes,Trek Fuel EX 5 27.5 Plus - 2017,3
Rowlett Bikes,Trek Fuel EX 8 29 - 2016,21
Rowlett Bikes,Trek Fuel EX 8 29 - 2018,1
Rowlett Bikes,Trek Fuel EX 9.8 27.5 Plus - 2017,1
Rowlett Bikes,Trek Fuel EX 9.8 29 - 2017,9
Rowlett Bikes,Trek Girl's Kickster - 2017,2
Rowlett Bikes,Trek Madone 9 Frameset - 2018,1
Rowlett Bikes,Trek Madone 9.2 - 2017,6
Rowlett Bikes,Trek Marlin 6 - 2018,2
Rowlett Bikes,Trek Marlin 7 - 2017/2018,2
Rowlett Bikes,Trek Powerfly 5 Women's - 2018,2
Rowlett Bikes,Trek Powerfly 8 FS Plus - 2017,1
Rowlett Bikes,Trek Precaliber 12 Boy's - 2018,2
Rowlett Bikes,Trek Precaliber 12 Boys - 2017,1
Rowlett Bikes,Trek Precaliber 12 Girls - 2017,3
Rowlett Bikes,Trek Precaliber 16 Boys - 2017,2
Rowlett Bikes,Trek Precaliber 16 Girl's - 2018,1
Rowlett Bikes,Trek Precaliber 16 Girls - 2017,1
Rowlett Bikes,Trek Precaliber 24 (21-Speed) - Girls - 2017,4
Rowlett Bikes,Trek Procal AL Frameset - 2018,2
Rowlett Bikes,Trek Remedy 27.5 C Frameset - 2018,2
Rowlett Bikes,Trek Remedy 29 Carbon Frameset - 2016,8
Rowlett Bikes,Trek Remedy 7 27.5 - 2018,1
Rowlett Bikes,Trek Silque SLR 7 Women's - 2017,6
Rowlett Bikes,Trek Silque SLR 8 Women's - 2017,4
Rowlett Bikes,Trek Slash 8 27.5 - 2016,21
Rowlett Bikes,Trek Stache 5 - 2017,5
Rowlett Bikes,Trek Super Commuter+ 8S - 2018,2
Rowlett Bikes,Trek Verve+ Lowstep - 2018,2
Rowlett Bikes,Trek X-Caliber 8 - 2017,2
Rowlett Bikes,Trek X-Caliber Frameset - 2018,1
Rowlett Bikes,Trek XM700+ - 2018,1
Rowlett Bikes,Trek XM700+ Lowstep - 2018,3
Santa Cruz Bikes,Electra Amsterdam Fashion 3i Ladies' - 2017/2018,2
Santa Cruz Bikes,Electra Amsterdam Fashion 7i Ladies' - 2017,8
Santa Cruz Bikes,Electra Amsterdam Original 3i - 2015/2017,6
Santa Cruz Bikes,Electra Amsterdam Original 3i Ladies' - 2017,4
Santa Cruz Bikes,Electra Amsterdam Royal 8i Ladies - 2018,2
Santa Cruz Bikes,Electra Cruiser 1 (24-Inch) - 2016,44
Santa Cruz Bikes,Electra Cruiser 1 - 2016/2017/2018,3
Santa Cruz Bikes,Electra Cruiser 1 Ladies' - 2018,1
Santa Cruz Bikes,Electra Cruiser 7D - 2016/2017/2018,1
Santa Cruz Bikes,Electra Cruiser Lux 1 - 2016/2018,2
Santa Cruz Bikes,Electra Cruiser Lux 1 - 2017,7
Santa Cruz Bikes,Electra Cruiser Lux 1 Ladies' - 2018,2
Santa Cruz Bikes,Electra Cruiser Lux 3i Ladies' - 2018,2
Santa Cruz Bikes,Electra Cruiser Lux 7D - 2018,3
Santa Cruz Bikes,Electra Cruiser Lux Fat Tire 1 Ladies - 2017,6
Santa Cruz Bikes,Electra Cyclosaurus 1 (16-inch) - Boy's - 2018,2
Santa Cruz Bikes,Electra Daydreamer 3i Ladies' - 2018,1
Santa Cruz Bikes,Electra Delivery 3i - 2016/2017/2018,2
Santa Cruz Bikes,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,59
Santa Cruz Bikes,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,31
Santa Cruz Bikes,"Electra Girl's Hawaii 1 16"" - 2017",20
Santa Cruz Bikes,Electra Glam Punk 3i Ladies' - 2017,2
Santa Cruz Bikes,Electra Heartchya 1 (20-inch) - Girl's - 2018,2
Santa Cruz Bikes,Electra Loft Go! 8i - 2018,1
Santa Cruz Bikes,Electra Morningstar 3i Ladies' - 2018,1
