category_name,state,month,gross_revenue,net_revenue,discount_amount,discount_percentage
Comfort Bicycles,NY,03,25425.530000000002,23130.791899999997,2294.7381000000005,9.03
Comfort Bicycles,NY,04,40305.29,35855.1787,4450.1113000000005,11.04
Comfort Bicycles,NY,05,21831.569999999996,19642.813,2188.757,10.03
Comfort Bicycles,NY,06,20526.599999999995,17877.851700000003,2648.7482999999997,12.9
Comfort Bicycles,NY,07,21765.58,19290.757999999994,2474.8219999999997,11.37
Comfort Bicycles,NY,08,24296.54000000001,22130.171499999997,2166.3685000000005,8.92
Comfort Bicycles,NY,09,18651.649999999998,16736.145,1915.5049999999999,10.27
Comfort Bicycles,NY,10,26659.480000000003,23634.219199999996,3025.2608,11.35
Comfort Bicycles,NY,11,18588.649999999994,16701.9861,1886.6639000000002,10.15
Comfort Bicycles,NY,12,17201.669999999995,15433.3741,1768.2959000000003,10.28
Comfort Bicycles,TX,01,3049.95,2780.9543999999996,268.9956,8.82
Comfort Bicycles,TX,02,8233.849999999999,7578.1618,655.6882,7.96
Comfort Bicycles,TX,03,5003.899999999999,4498.2001,505.6999000000001,10.11
Comfort Bicycles,TX,04,8365.88,7656.0903,709.7897,8.48
Comfort Bicycles,TX,05,3099.9399999999996,2935.9432,163.9968,5.29
Comfort Bicycles,TX,06,3041.9399999999996,2820.4242,221.5158,7.28
Comfort Bicycles,TX,07,899.99,809.991,89.99900000000001,10.0
Comfort Bicycles,TX,08,6627.869999999999,5968.7835000000005,659.0865000000001,9.94
Comfort Bicycles,TX,09,833.98,775.6014,58.378600000000006,7.0
Comfort Bicycles,TX,10,2629.95,2409.4542,220.49580000000003,8.38
Comfort Bicycles,TX,11,2099.96,1734.967,364.99300000000005,17.38
Comfort Bicycles,TX,12,4155.92,3830.5062,325.41380000000004,7.83
Cruisers Bicycles,CA,01,21864.679999999993,18788.0322,3076.6477999999997,14.07
Cruisers Bicycles,CA,02,16972.69,15675.1043,1297.5857000000003,7.65
Cruisers Bicycles,CA,03,22948.690000000002,20697.051600000003,2251.6384000000003,9.81
Cruisers Bicycles,CA,04,57940.259999999995,51921.93000000001,6018.329999999996,10.39
Cruisers Bicycles,CA,05,8286.859999999999,7617.2024,669.6576,8.08
Cruisers Bicycles,CA,06,17637.679999999997,15507.999000000003,2129.681,12.07
Cruisers Bicycles,CA,07,9673.799999999997,8611.681700000001,1062.1183,10.98
Cruisers Bicycles,CA,08,14449.739999999996,12741.944100000002,1707.7959,11.82
Cruisers Bicycles,CA,09,16351.739999999996,14598.262900000002,1753.4771000000003,10.72
Cruisers Bicycles,CA,10,21821.660000000003,19797.943,2023.717,9.27
Cruisers Bicycles,CA,11,8250.869999999999,7235.985599999999,1014.8844000000003,12.3
Cruisers Bicycles,CA,12,15484.739999999996,13926.7272,1558.0128000000002,10.06
Cruisers Bicycles,NY,01,70466.97,64444.122400000015,6022.847599999998,8.55
Cruisers Bicycles,NY,02,62069.16000000001,55618.96459999997,6450.195399999997,10.39
Cruisers Bicycles,NY,03,110973.47000000002,100180.5061,10792.963899999993,9.73
Cruisers Bicycles,NY,04,110872.48000000005,99533.7633,11338.716699999994,10.23
Cruisers Bicycles,NY,05,48396.16000000001,42992.45569999999,5403.7042999999985,11.17
Cruisers Bicycles,NY,06,46487.25000000002,41575.04429999999,4912.2056999999995,10.57
Cruisers Bicycles,NY,07,62462.940000000024,55647.83769999999,6815.102299999998,10.91
Cruisers Bicycles,NY,08,47074.20000000003,41874.64379999999,5199.556199999998,11.05
Cruisers Bicycles,NY,09,44074.28000000001,39672.36389999999,4401.916099999999,9.99
Cruisers Bicycles,NY,10,55676.090000000026,49845.2228,5830.867199999998,10.47
Cruisers Bicycles,NY,11,51497.28000000002,45928.92689999999,5568.3531,10.81
Cruisers Bicycles,NY,12,49436.330000000016,44481.9215,4954.4085000000005,10.02
Cruisers Bicycles,TX,01,7306.879999999998,6619.295,687.585,9.41
Cruisers Bicycles,TX,02,10485.789999999997,9249.1546,1236.6354,11.79
Cruisers Bicycles,TX,03,19540.669999999995,17396.8168,2143.8531999999996,10.97
Cruisers Bicycles,TX,04,10092.829999999998,9131.2456,961.5844000000001,9.53
Cruisers Bicycles,TX,05,8472.89,7617.601,855.2890000000001,10.09
Cruisers Bicycles,TX,06,12699.759999999997,11674.929800000002,1024.8302,8.07
Cruisers Bicycles,TX,07,2969.9300000000003,2690.9364,278.9936,9.39
Cruisers Bicycles,TX,08,17205.739999999998,15364.176899999999,1841.5631000000005,10.7
Cruisers Bicycles,TX,09,7308.91,6748.047199999999,560.8628000000001,7.67
Cruisers Bicycles,TX,10,7533.8499999999985,6806.1055,727.7445,9.66
Cruisers Bicycles,TX,11,5457.9,4983.4503,474.4497000000001,8.69
Cruisers Bicycles,TX,12,8905.869999999999,7835.2276,1070.6424000000002,12.02
Cyclocross Bicycles,CA,01,20287.949999999997,18287.5155,2000.4345000000003,9.86
Cyclocross Bicycles,CA,02,13321.949999999999,12120.4551,1201.4949000000001,9.02
Cyclocross Bicycles,CA,03,6861.969999999999,6175.773,686.1970000000001,10.0
Cyclocross Bicycles,CA,04,38391.88,34675.0015,3716.8785,9.68
Cyclocross Bicycles,CA,05,20183.92,18334.6858,1849.2341999999999,9.16
Cyclocross Bicycles,CA,06,11370.96,10280.6828,1090.2772,9.59
Cyclocross Bicycles,CA,07,8008.98,7510.3114000000005,498.66859999999997,6.23
Cyclocross Bicycles,CA,08,12523.99,11674.331,849.659,6.78
Cyclocross Bicycles,CA,09,9294.0,7899.9,1394.1000000000001,15.0
Cyclocross Bicycles,CA,10,16413.93,14910.6271,1503.3029000000001,9.16
Cyclocross Bicycles,CA,11,1549.0,1471.55,77.45,5.0
Cyclocross Bicycles,CA,12,21732.92,18960.1,2772.8199999999997,12.76
Cyclocross Bicycles,NY,01,33021.93,29566.3081,3455.6219,10.46
Cyclocross Bicycles,NY,02,48256.86999999999,40876.31,7380.560000000002,15.29
Cyclocross Bicycles,NY,03,52462.83,46117.7811,6345.0489,12.09
Cyclocross Bicycles,NY,04,71074.81,61736.3776,9338.4324,13.14
Cyclocross Bicycles,NY,05,41526.89,38260.98989999999,3265.9001,7.86
Cyclocross Bicycles,NY,06,59554.799999999996,52627.021700000005,6927.778299999999,11.63
Cyclocross Bicycles,NY,07,40308.88000000001,35610.602100000004,4698.277900000001,11.66
Cyclocross Bicycles,NY,08,38897.89,35094.348600000005,3803.5414000000005,9.78
Cyclocross Bicycles,NY,09,29735.88,26179.943,3555.9370000000004,11.96
Cyclocross Bicycles,NY,10,51900.89,47013.0304,4887.8596,9.42
Cyclocross Bicycles,NY,11,35186.86,31960.0045,3226.8554999999997,9.17
Cyclocross Bicycles,NY,12,49793.83,42731.8446,7061.9854000000005,14.18
Cyclocross Bicycles,TX,01,16861.94,14643.847,2218.093,13.15
Cyclocross Bicycles,TX,02,3098.0,2881.14,216.86,7.0
Cyclocross Bicycles,TX,03,3361.98,3193.881,168.09900000000002,5.0
Cyclocross Bicycles,TX,04,1549.0,1239.2,309.8,20.0
Cyclocross Bicycles,TX,05,1549.0,1471.55,77.45,5.0
Cyclocross Bicycles,TX,06,6459.98,5968.882,491.09800000000007,7.6
Cyclocross Bicycles,TX,07,3098.0,2881.14,216.86,7.0
Cyclocross Bicycles,TX,08,1680.99,1512.891,168.09900000000002,10.0
Cyclocross Bicycles,TX,09,4910.98,4298.253000000001,612.7270000000001,12.48
Cyclocross Bicycles,TX,10,6999.98,6509.981399999999,489.9986,7.0
Cyclocross Bicycles,TX,11,3361.98,3193.881,168.09900000000002,5.0
Cyclocross Bicycles,TX,12,15278.96,13141.6947,2137.2653,13.99
Electric Bikes,CA,01,22799.93,20259.9382,2539.9917999999993,11.14
Electric Bikes,CA,02,23759.92,19607.934,4151.986,17.47
Electric Bikes,CA,03,11999.96,10799.964,1199.9959999999999,10.0
Electric Bikes,CA,04,87519.73999999999,79977.36399999999,7542.375999999999,8.62
Electric Bikes,CA,05,2999.99,2699.991,299.99899999999997,10.0
Electric Bikes,CA,06,11999.96,10949.9635,1049.9964999999997,8.75
Electric Bikes,CA,07,12119.949999999999,10145.9585,1973.9915,16.29
Electric Bikes,CA,08,7559.969999999999,6503.974,1055.9959999999999,13.97
Electric Bikes,CA,09,9119.96,8601.562399999999,518.3976,5.68
Electric Bikes,CA,10,28559.899999999998,24233.914899999996,4325.985099999999,15.15
Electric Bikes,CA,11,24999.93,22379.9374,2619.9926,10.48
Electric Bikes,CA,12,2999.99,2849.9905,149.99949999999998,5.0
Electric Bikes,NY,01,101039.72,91806.74689999998,9232.9731,9.14
Electric Bikes,NY,02,61719.84,54135.8609,7583.9791,12.29
Electric Bikes,NY,03,83519.73,75006.75769999999,8512.9723,10.19
Electric Bikes,NY,04,75619.76,68741.78349999999,6877.976499999999,9.1
Electric Bikes,NY,05,21999.94,19489.947699999997,2509.9923,11.41
Electric Bikes,NY,06,35999.899999999994,32899.909199999995,3099.9907999999996,8.61
Electric Bikes,NY,07,33239.869999999995,30011.882199999996,3227.9878,9.71
Electric Bikes,NY,08,62799.8,56117.822899999985,6681.9771,10.64
Electric Bikes,NY,09,51359.84999999999,47274.662000000004,4085.1879999999996,7.95
Electric Bikes,NY,10,29999.899999999998,28439.9052,1559.9948,5.2
Electric Bikes,NY,11,44119.869999999995,39654.682700000005,4465.1873000000005,10.12
Electric Bikes,NY,12,65999.79999999999,59249.8205,6749.9794999999995,10.23
Electric Bikes,TX,01,21599.94,19507.9464,2091.9936,9.69
Electric Bikes,TX,03,7999.98,6849.983,1149.997,14.37
Electric Bikes,TX,04,24999.929999999993,21829.939199999997,3169.9908,12.68
Electric Bikes,TX,06,15559.949999999999,14453.953699999998,1105.9963,7.11
Electric Bikes,TX,07,7499.98,6389.9827000000005,1109.9973,14.8
Electric Bikes,TX,08,7559.969999999999,7150.771699999999,409.19829999999996,5.41
Electric Bikes,TX,09,7559.969999999999,7181.9715,377.9985,5.0
Electric Bikes,TX,10,5999.98,5399.982,599.9979999999999,10.0
Electric Bikes,TX,11,2999.99,2399.9919999999997,599.9979999999999,20.0
Electric Bikes,TX,12,4599.98,3679.984,919.996,20.0
Mountain Bikes,CA,01,86437.62000000001,76834.43239999999,9603.1876,11.11
Mountain Bikes,CA,02,44809.670000000006,39918.4289,4891.241100000001,10.92
Mountain Bikes,CA,03,72201.57,63990.01339999998,8211.5566,11.37
Mountain Bikes,CA,04,75713.46999999999,68745.0775,6968.392499999998,9.2
Mountain Bikes,CA,05,34261.76000000001,31056.986400000005,3204.7735999999995,9.35
Mountain Bikes,CA,06,44559.78,39878.503399999994,4681.2766,10.51
Mountain Bikes,CA,07,36337.799999999996,32094.524199999996,4243.275799999999,11.68
Mountain Bikes,CA,08,53542.620000000024,48251.38189999999,5291.238099999999,9.88
Mountain Bikes,CA,09,48469.69000000001,44051.617300000005,4418.0727,9.12
Mountain Bikes,CA,10,36047.72,32694.446099999997,3353.2738999999997,9.3
Mountain Bikes,CA,11,53697.720000000016,47802.60970000001,5895.110299999999,10.98
Mountain Bikes,CA,12,41522.73999999999,36929.61979999999,4593.120199999999,11.06
Mountain Bikes,NY,01,219197.88999999998,194716.49359999993,24481.396399999987,11.17
Mountain Bikes,NY,02,170444.06000000003,154271.08759999997,16172.972399999993,9.49
Mountain Bikes,NY,03,239098.68999999997,210245.6240999999,28853.065899999998,12.07
Mountain Bikes,NY,04,240017.75,215830.01589999985,24187.734099999998,10.08
Mountain Bikes,NY,05,169274.93000000002,150513.83359999995,18761.09639999999,11.08
Mountain Bikes,NY,06,157076.17000000004,143893.4548,13182.715199999995,8.39
Mountain Bikes,NY,07,152541.05000000008,138291.90699999992,14249.14299999999,9.34
Mountain Bikes,NY,08,146923.15000000002,129455.92229999993,17467.22769999999,11.89
Mountain Bikes,NY,09,172775.04000000007,154516.15749999994,18258.882499999996,10.57
Mountain Bikes,NY,10,177104.12000000008,157670.41409999997,19433.705899999994,10.97
Mountain Bikes,NY,11,119203.23000000003,104188.92209999998,15014.307899999993,12.6
Mountain Bikes,NY,12,90925.43,82798.39379999999,8127.036199999998,8.94
Mountain Bikes,TX,01,12130.91,11350.246799999999,780.6632,6.44
Mountain Bikes,TX,02,41618.77,38349.442599999995,3269.3273999999997,7.86
Mountain Bikes,TX,03,32355.810000000005,28462.531799999997,3893.2781999999997,12.03
Mountain Bikes,TX,04,41369.78,37070.9072,4298.872799999999,10.39
Mountain Bikes,TX,05,25099.92,22763.9274,2335.9926,9.31
Mountain Bikes,TX,06,38324.78000000001,35646.09859999999,2678.6814000000004,6.99
Mountain Bikes,TX,07,8379.93,7722.1351,657.7948999999999,7.85
Mountain Bikes,TX,08,38185.75000000001,34303.527899999994,3882.2221,10.17
Mountain Bikes,TX,09,59898.67000000001,54704.0274,5194.642599999999,8.67
Mountain Bikes,TX,10,7615.91,6824.8204000000005,791.0896,10.39
Mountain Bikes,TX,11,36559.88,33085.9626,3473.9174,9.5
Mountain Bikes,TX,12,7051.93,6156.038500000001,895.8915000000001,12.7
Road Bikes,CA,01,56875.79999999999,52936.013399999996,3939.7865999999995,6.93
Road Bikes,CA,02,37189.869999999995,33386.88539999999,3802.9846,10.23
Road Bikes,CA,03,43847.899999999994,38939.3122,4908.5878,11.19
Road Bikes,CA,04,99593.67000000001,91109.74060000002,8483.929399999999,8.52
Road Bikes,CA,05,13749.97,12764.972399999999,984.9976,7.16
Road Bikes,CA,06,17899.96,16379.963,1519.997,8.49
Road Bikes,CA,07,20699.96,18129.965,2569.995,12.42
Road Bikes,CA,08,2999.98,2699.982,299.998,10.0
Road Bikes,CA,09,13299.949999999999,11449.957,1849.9930000000002,13.91
Road Bikes,CA,11,24799.909999999996,22311.9191,2487.9909,10.03
Road Bikes,CA,12,9051.939999999999,7241.552,1810.388,20.0
Road Bikes,NY,01,208607.42999999996,184983.54949999994,23623.8805,11.32
Road Bikes,NY,02,97125.67000000001,87371.90639999999,9753.763599999997,10.04
Road Bikes,NY,03,146937.52000000005,132280.94169999997,14656.578299999996,9.97
Road Bikes,NY,04,235578.38999999998,209863.6992999999,25714.690699999992,10.92
Road Bikes,NY,05,77475.77000000002,70591.99049999999,6883.7795,8.89
Road Bikes,NY,06,96803.72000000002,88240.74560000001,8562.9744,8.85
Road Bikes,NY,07,48875.869999999995,45220.6813,3655.1886999999997,7.48
Road Bikes,NY,08,51151.84,45761.6574,5390.1826,10.54
Road Bikes,NY,09,87425.79,77820.6148,9605.1752,10.99
Road Bikes,NY,10,65825.77999999998,60372.9789,5452.801100000001,8.28
Road Bikes,NY,11,68301.81999999999,60451.74119999999,7850.0788,11.49
Road Bikes,NY,12,86451.81000000001,77516.7081,8935.101899999998,10.34
Road Bikes,TX,01,15351.92,14209.325499999999,1142.5945000000002,7.44
Road Bikes,TX,02,36249.880000000005,33805.38829999999,2444.4917000000005,6.74
Road Bikes,TX,03,22091.9,20176.310099999995,1915.5899,8.67
Road Bikes,TX,04,58139.840000000004,52322.85670000001,5816.9833,10.01
Road Bikes,TX,05,5999.99,4799.992,1199.998,20.0
Road Bikes,TX,06,31875.93,28344.6181,3531.3119,11.08
Road Bikes,TX,08,24199.94,22554.944499999998,1644.9955,6.8
Road Bikes,TX,09,25999.949999999997,20799.96,5199.99,20.0
Road Bikes,TX,10,5999.99,5579.990699999999,419.9993,7.0
Road Bikes,TX,11,10099.97,9392.972099999999,706.9979000000001,7.0
Road Bikes,TX,12,5975.969999999999,5284.6532,691.3168,11.57
