customer_id,purchase_frequency,avg_order_value,preferred_categories,customer_segment
196,1,3649.982266666666,"7,4,2",Medium Value
245,1,3623.3212333333336,"6,7,3",Medium Value
525,1,3622.98618,"6,1,7,4",Medium Value
403,1,3622.3207333333326,"6,3",Medium Value
89,2,3601.7784666666666,"6,5,1",Medium Value
210,1,3599.991,6,Medium Value
1018,1,3597.4156666666663,"6,7,2",Medium Value
394,1,3592.4861999999994,"7,4",Medium Value
38,2,3589.2777499999993,"6,3,1,7,5",Medium Value
1171,1,3562.41155,"6,5,1",Medium Value
1020,1,3535.3348499999997,"3,6,7,1",Medium Value
125,1,3533.981399999999,"1,7",Medium Value
576,1,3524.987466666666,"6,5,1",Medium Value
1422,1,3524.8365,"6,7",Medium Value
607,1,3516.1433599999996,"6,7,4",Medium Value
626,1,3511.4811999999993,"1,4",Medium Value
94,2,3480.793919999999,"6,5,3,7",Medium Value
349,1,3456.0857499999993,7,Medium Value
543,1,3445.6541333333334,"3,6,1",Medium Value
1063,1,3441.3866999999996,"6,3",Medium Value
1124,1,3419.9809999999998,6,Medium Value
169,2,3419.58925,"6,4,2,5",Medium Value
1015,1,3412.4861999999994,"4,1",Medium Value
1248,1,3397.041,"5,4",Medium Value
976,1,3390.0154,"7,1,2",Medium Value
631,1,3374.9866999999995,"7,3",Medium Value
366,1,3372.387,"5,4",Medium Value
688,1,3347.9813999999997,6,Medium Value
379,1,3335.8006,"7,2",Medium Value
734,1,3321.8815499999996,"2,6,7,1",Medium Value
1382,1,3298.304,"6,3,7",Medium Value
595,1,3297.9846,"5,3,1",Medium Value
1424,1,3295.9880000000003,6,Medium Value
838,1,3283.0246666666667,"6,5",Medium Value
186,1,3277.8848999999996,"6,1",Medium Value
175,2,3255.9815,"6,7,3,2",Medium Value
1416,1,3254.9906999999994,4,Medium Value
1347,1,3247.986,"7,1",Medium Value
899,1,3239.982,6,Medium Value
411,1,3224.6148,"5,4,2",Medium Value
93,2,3201.5877625,"3,6,7,5,2",Medium Value
1082,1,3199.992,6,Medium Value
579,1,3198.73585,"6,5",Medium Value
971,1,3175.28522,"2,6,5,1",Medium Value
172,2,3168.21984,"7,5,3,1",Medium Value
1291,1,3165.2873499999996,"6,7",Medium Value
427,1,3149.991,4,Medium Value
91,2,3142.8128333333334,"6,4,2,7,5,3",Medium Value
1051,1,3133.3216666666667,"5,6,7",Medium Value
488,1,3129.6325,"3,5",Medium Value
802,1,3128.367333333333,"6,3,2",Medium Value
1167,1,3126.6414,4,Medium Value
1218,1,3126.6414,4,Medium Value
1267,1,3126.6414,4,Medium Value
696,1,3120.2769999999996,"5,4",Medium Value
105,1,3115.3869750000003,"6,4,3",Medium Value
882,1,3114.5607,"6,3",Medium Value
1258,1,3095.45685,"7,3",Medium Value
794,1,3091.655133333333,"2,6,7",Medium Value
1199,1,3091.1249999999995,"6,1",Medium Value
111,1,3088.8862499999996,6,Medium Value
758,1,3084.9815,"6,2",Medium Value
809,1,3083.2313,"6,7,3,1,2",Medium Value
230,1,3070.5076666666664,"6,4,3",Medium Value
1441,1,3057.793899999999,"6,5",Medium Value
10,3,3057.660036363636,"3,6,1,7,2",High Value
293,1,3051.4815,"7,1",Medium Value
1276,1,3044.9915,"7,3",Medium Value
1132,1,3041.18568,"5,6,7,3",Medium Value
518,1,3039.9809999999998,6,Medium Value
12,3,3038.142425,"4,3,1,7,5",High Value
127,1,3017.4826999999996,6,Medium Value
32,3,3006.214166666667,"3,4,5,7",High Value
29,2,2994.9866749999997,"2,6,7,3",Medium Value
235,1,2994.9825,"6,1",Medium Value
1396,1,2992.4905,6,Medium Value
1019,1,2987.6191499999995,"6,5,1",Medium Value
195,1,2987.00622,"6,5,3",Medium Value
580,1,2975.9906999999994,7,Medium Value
6,3,2970.4611363636354,"6,3,5,7,4,1",High Value
174,1,2963.9809999999998,5,Medium Value
412,1,2963.9809999999998,5,Medium Value
1174,1,2963.7754999999997,"6,3",Medium Value
1316,1,2962.7373500000003,"4,1",Medium Value
1392,1,2961.23625,"5,3",Medium Value
251,1,2959.8176333333327,"6,1,2",Medium Value
374,1,2947.08304,"4,7,3",Medium Value
509,1,2946.888325,"6,7,3",Medium Value
1330,1,2945.5811999999996,"6,7",Medium Value
179,1,2943.6711999999998,"6,7",Medium Value
959,1,2938.9847999999997,"6,3",Medium Value
587,1,2921.3214666666663,"6,3",Medium Value
1310,1,2916.9873499999994,"7,6",Medium Value
328,1,2913.6553333333336,"5,7,3",Medium Value
1131,1,2913.2869,"6,3,7,5",Medium Value
610,1,2898.690666666667,"6,4,3",Medium Value
145,1,2898.690666666666,"6,3,1",Medium Value
1285,1,2881.14,4,Medium Value
263,1,2881.00928,"3,6,5",Medium Value
904,1,2879.42758,"1,6,7,5,4",Medium Value
54,2,2870.9073166666662,"6,3,1,7",Medium Value
627,1,2869.88485,"6,3",Medium Value
350,1,2865.64885,"6,4,3",Medium Value
649,1,2850.017566666666,"6,3",Medium Value
1055,1,2849.9905,5,Medium Value
281,1,2836.1405,4,Medium Value
923,1,2835.56535,"5,4",Medium Value
167,1,2834.4437,"6,7,1,2",Medium Value
1341,1,2825.507333333333,"6,3,2",Medium Value
1161,1,2815.3181666666665,"5,1",Medium Value
206,1,2809.9818,6,Medium Value
1423,1,2809.6636,"1,6,7,2",Medium Value
547,1,2795.7608499999997,"6,3,1",Medium Value
119,2,2794.0209333333332,"1,7,3",Medium Value
439,1,2789.9907,5,Medium Value
567,1,2789.9813999999997,"5,1",Medium Value
292,1,2789.5089799999996,"6,5,3,7",Medium Value
565,1,2789.06535,"6,4",Medium Value
72,2,2782.8669,"6,3,5,7",Medium Value
762,1,2768.9908499999997,"6,7",Medium Value
1084,1,2767.7906333333335,"7,2",Medium Value
1069,1,2760.181,"6,4",Medium Value
609,1,2758.9619999999995,"3,6,4",Medium Value
34,2,2758.939525,"3,7,5",Medium Value
35,2,2757.6341125,"6,1,5,7,2",Medium Value
520,1,2754.9905,6,Medium Value
892,1,2754.9905,6,Medium Value
296,1,2754.72554,"1,7,4,3,2",Medium Value
1236,1,2754.6223333333332,"6,2",Medium Value
159,1,2753.483625,"6,3",Medium Value
997,1,2746.726,"6,4,3",Medium Value
810,1,2737.89035,"6,7,3,1",Medium Value
800,1,2725.6846999999993,"6,3,1",Medium Value
9,3,2714.8757555555553,"6,4,3,1,2,7,5",High Value
82,2,2713.5733857142864,"6,3,2,5,1",Medium Value
312,1,2709.9865,7,Medium Value
1235,1,2708.98635,"3,7",Medium Value
323,1,2699.991,3,Medium Value
1272,1,2699.991,5,Medium Value
550,1,2698.588425,"3,5",Medium Value
1432,1,2696.9907,6,Medium Value
808,1,2694.654233333333,6,Medium Value
496,1,2685.5893333333333,6,Medium Value
1060,1,2670.437333333333,"6,7,3",Medium Value
16,3,2660.490475,"4,3,6,7",High Value
364,1,2645.9825,"6,3",Medium Value
1205,1,2640.9120000000003,"5,4,3",Medium Value
1138,1,2635.4908,"7,3,1",Medium Value
681,1,2626.16576,"6,7,1",Medium Value
883,1,2621.4882000000002,"6,7,1",Medium Value
1315,1,2616.0876000000003,"6,5,4",Medium Value
226,1,2606.71922,"4,6,7,3,1",Medium Value
1274,1,2597.0185666666666,"6,1,2",Medium Value
1438,1,2596.18774,"6,3,7",Medium Value
545,1,2594.2909999999997,"5,4,2",Medium Value
140,1,2581.9842799999997,"3,6,5,1",Medium Value
463,1,2566.73855,"6,2,7,1",Medium Value
61,3,2563.64531,"6,2,3,7,5",High Value
1388,1,2559.992,7,Medium Value
66,3,2558.476922222222,"6,4,3,2,5,1",High Value
1313,1,2557.04535,"6,4",Medium Value
1070,1,2554.8490199999997,"3,6,7",Medium Value
39,2,2540.4981999999995,"6,2,1,7,5,3",Medium Value
1,3,2535.2893999999997,"5,4,1,2,6,7",High Value
1227,1,2529.1718,"6,5,3",Medium Value
128,1,2512.0540666666666,"6,1",Medium Value
562,1,2509.881,6,Medium Value
1237,1,2484.1426,"6,4,3,2",Medium Value
492,1,2481.888975,"6,3,2",Medium Value
1086,1,2480.1696,"6,7,1",Medium Value
180,1,2478.4,4,Medium Value
544,1,2477.1160499999996,"6,7,4,2",Medium Value
203,1,2473.9253,"3,1,5,2",Medium Value
1034,1,2468.6631249999996,"6,4,3",Medium Value
421,1,2459.611375,"6,5,2",Medium Value
109,2,2456.2719142857145,"5,2,6,7,3",Medium Value
472,1,2450.1548333333335,"2,4,3",Medium Value
690,1,2420.9572,"3,6,7",Medium Value
1043,1,2418.9246,"6,2,7",Medium Value
540,1,2417.321833333333,"6,5",Medium Value
330,1,2394.5854200000003,"3,7",Medium Value
782,1,2394.4409,"6,2",Medium Value
1162,1,2385.7843666666668,"7,1",Medium Value
738,1,2383.088225,"6,7,3,2",Medium Value
242,1,2381.2214666666664,"6,1",Medium Value
33,3,2380.4879499999997,"6,3,1,7,5",High Value
1151,1,2379.9846666666667,"5,2",Medium Value
22,2,2378.7212,"4,3,2,6",Medium Value
1261,1,2374.293,"5,4,3,2",Medium Value
739,1,2373.3162,"6,4",Medium Value
1010,1,2369.988925,"7,3,1,2",Medium Value
298,1,2368.7351000000003,"6,1,2",Medium Value
1230,1,2354.487966666666,"7,1",Medium Value
559,1,2352.1969499999996,"6,4,3,1",Medium Value
4,3,2350.0991888888893,"6,4,3,5,7,1",High Value
665,1,2346.9488,"6,2",Medium Value
279,1,2331.9345,"6,4,1,2",Medium Value
491,1,2323.851233333333,"1,7,3",Medium Value
661,1,2321.985975,"6,7,3",Medium Value
1380,1,2319.9919999999997,6,Medium Value
1349,1,2319.6634750000003,"6,3,2",Medium Value
85,2,2319.50754,"6,4,5,3,1",Medium Value
473,1,2319.2857799999997,"6,2,7,1",Medium Value
871,1,2317.7294799999995,"4,1,6,7,3",Medium Value
481,1,2315.982466666667,"5,3",Medium Value
583,1,2315.73088,"6,4,1,2",Medium Value
50,3,2311.3023857142857,"6,3,2,1,7",High Value
170,2,2300.2166166666666,"4,3,6,5",Medium Value
275,1,2295.30728,"6,2",Medium Value
836,1,2290.4865,"7,3,1",Medium Value
340,1,2289.439,6,Medium Value
1136,1,2285.7306,"6,3,5",Medium Value
223,1,2281.5455,"6,4",Medium Value
541,1,2281.2857,"6,5,1,2",Medium Value
375,1,2278.286,"3,2,6,7",Medium Value
316,1,2271.982466666667,"6,1,2",Medium Value
505,1,2271.2511666666664,"2,3,1",Medium Value
1164,1,2269.987,"6,3",Medium Value
187,2,2268.6043166666664,"6,3,7",Medium Value
689,1,2267.990633333333,"7,3",Medium Value
948,1,2264.655166666667,"7,1",Medium Value
1089,1,2261.6522333333337,"6,3",Medium Value
517,1,2261.23175,"6,3,4,1",Medium Value
87,2,2257.8247333333334,"6,3,1,2,5",Medium Value
1159,1,2254.857566666667,"5,3",Medium Value
732,1,2243.78925,"6,3,2",Medium Value
1348,1,2236.6067,"6,3,2",Medium Value
444,1,2236.4375,"4,7,3",Medium Value
1279,1,2234.1115,"2,6,7",Medium Value
880,1,2224.06508,"6,4,1",Medium Value
717,1,2219.9875666666667,"6,5,2",Medium Value
1137,1,2218.1578000000004,"4,1",Medium Value
798,1,2212.48342,"6,5,3,1",Medium Value
295,1,2211.1882,"6,7,5",Medium Value
783,1,2199.6059,"6,5,1,3",Medium Value
31,3,2195.1825777777776,"6,3,1,5",High Value
606,1,2193.983,"7,3",Medium Value
372,1,2192.9884666666667,"6,2",Medium Value
5,3,2190.0364874999996,"6,4,3,2,5",High Value
999,1,2176.970633333333,"6,7,3",Medium Value
768,1,2171.985,"6,7,3",Medium Value
306,1,2163.1883333333335,"6,5,4",Medium Value
574,1,2154.1545,"6,1",Medium Value
58,2,2151.4461499999998,"6,7,2,3,1",Medium Value
97,2,2150.3176333333336,"1,3,2",Medium Value
360,1,2149.430233333333,"6,4,3",Medium Value
252,1,2146.84925,"6,3",Medium Value
888,1,2145.6877,"3,6,1",Medium Value
666,1,2142.741625,"6,2",Medium Value
972,1,2132.3215666666665,"7,1",Medium Value
351,1,2124.61575,"4,3,6",Medium Value
815,1,2124.0089799999996,"6,4,3",Medium Value
778,1,2120.4745,"3,4",Medium Value
1302,1,2116.4545,"7,2",Medium Value
807,1,2115.5609999999997,"4,3",Medium Value
466,1,2113.5840000000003,6,Medium Value
484,1,2110.9808,"6,3",Medium Value
1048,1,2106.6486666666665,"5,3,1",Medium Value
781,1,2102.9908499999997,6,Medium Value
564,1,2098.235925,"6,4,3",Medium Value
43,3,2095.3688181818184,"6,3,4,7",High Value
536,1,2094.2311,"6,3,1",Medium Value
506,1,2089.8039999999996,"6,5,3",Medium Value
1149,1,2088.6516666666666,"6,3,1",Medium Value
246,1,2087.319133333333,"2,7",Medium Value
578,1,2085.73475,"6,3,1,2",Medium Value
831,1,2084.9908499999997,"6,2",Medium Value
861,1,2084.99075,"6,3",Medium Value
115,1,2081.986925,"6,1,4",Medium Value
236,1,2078.9862,"6,1",Medium Value
870,1,2077.361225,"4,3,1",Medium Value
1443,1,2074.4186799999998,"6,5,4,3,1",Medium Value
335,1,2073.831,"3,6",Medium Value
1440,1,2072.051,"6,3",Medium Value
181,2,2068.4889749999998,"5,3,6",Medium Value
338,1,2066.496,4,Medium Value
126,1,2062.9849599999993,"7,1,3",Medium Value
1144,1,2062.3846333333336,"5,1",Medium Value
1133,1,2057.9862,"6,3",Medium Value
255,1,2053.97114,"5,2,6,3",Medium Value
212,1,2051.9881333333333,"6,3",Medium Value
724,1,2050.884433333333,"6,1",Medium Value
259,1,2046.2092799999998,"6,4,3",Medium Value
1368,1,2043.2471999999998,"6,3,1",Medium Value
715,1,2037.58902,"6,3,2",Medium Value
844,1,2037.3256999999999,"6,7,3,2",Medium Value
192,2,2029.7697285714282,"6,3,1,2,7",Medium Value
36,2,2026.6476666666665,"6,2,3",Medium Value
384,1,2024.111375,"6,7,2",Medium Value
1263,1,2022.3915000000002,"5,4",Medium Value
74,2,2018.4859999999999,"6,1",Medium Value
1225,1,2010.1256199999996,"6,3,1",Medium Value
63,2,2008.6370799999993,"6,2,7,3",Medium Value
426,1,2007.9848333333332,"3,2,6",Medium Value
37,2,2001.6895000000002,"6,7,5,3,1,2",Medium Value
28,2,1999.2864800000002,"5,6,3,2,7,1",Medium Value
960,1,1998.951175,"3,1,4",Medium Value
1360,1,1991.8535999999997,"6,4,3,2",Medium Value
594,1,1988.4279999999999,"3,1,7,4",Medium Value
112,1,1988.0115999999998,"7,3,2",Medium Value
916,1,1987.7866999999999,"6,5,3,2",Medium Value
118,1,1987.3127,"4,3",Medium Value
1118,1,1986.8605000000002,"2,6",Medium Value
660,1,1986.3552333333334,6,Medium Value
886,1,1985.4409799999999,"3,6,7,2",Medium Value
1026,1,1984.73435,"7,3",Medium Value
157,2,1984.5777333333333,"6,4,2,1,5",Medium Value
1439,1,1983.9841999999996,"1,2,7,3",Medium Value
1300,1,1983.236625,"6,3,2",Medium Value
1178,1,1975.1812,"5,2",Medium Value
1406,1,1975.108675,"6,5,1,2",Medium Value
749,1,1964.5183333333332,"7,1,2",Medium Value
1257,1,1964.5164666666667,"6,3",Medium Value
88,2,1961.0492799999997,"3,7,6",Medium Value
143,1,1960.3315,"4,2",Medium Value
453,1,1955.9860000000003,"6,7,3,1",Medium Value
48,2,1950.975333333333,"6,2,1",Medium Value
1085,1,1947.1738333333333,"6,4",Medium Value
1415,1,1945.16748,"4,6,7,3,1",Medium Value
983,1,1942.5902999999998,"6,1,2",Medium Value
499,1,1940.9889799999996,"6,5,4,3",Medium Value
1081,1,1936.93475,"6,3,1,7",Medium Value
2,3,1932.9084900000003,"3,7,6,5,1",High Value
937,1,1932.8827,"6,3",Medium Value
407,1,1929.98925,"3,6,7",Medium Value
1119,1,1925.1815666666664,"5,3,2",Medium Value
461,1,1922.7381333333335,"6,7,3",Medium Value
1398,1,1922.068025,"5,4,3,2",Medium Value
150,1,1920.441,"4,3",Medium Value
1052,1,1915.9872500000001,"7,5,3",Medium Value
136,2,1914.2516500000002,"3,6,7,1,5",Medium Value
1244,1,1910.8217333333332,"2,7,1",Medium Value
1112,1,1903.3185,"6,5,3",Medium Value
21,3,1902.6663888888882,"4,3,7,1,2",High Value
708,1,1899.981,6,Medium Value
950,1,1899.5817,"6,3",Medium Value
153,2,1896.4991333333335,"6,4,1,7,2",Medium Value
1260,1,1895.5271666666667,"3,7,1",Medium Value
69,2,1892.2327500000001,"7,3,1",Medium Value
529,1,1892.0136,"6,5,3,2",Medium Value
1156,1,1881.9357499999999,"4,3",Medium Value
1321,1,1881.6383999999998,"6,5",Medium Value
269,1,1881.509175,"5,3,2",Medium Value
1041,1,1875.9856666666665,"3,7,1",Medium Value
1201,1,1874.47402,"6,3,1,2",Medium Value
225,1,1871.58285,"6,5,3",Medium Value
1307,1,1870.5341,"6,3,1,2",Medium Value
1436,1,1866.90188,"3,7,4,1",Medium Value
920,1,1862.96714,"6,3",Medium Value
1262,1,1861.4914999999999,"5,6",Medium Value
1165,1,1860.3860799999998,"6,3,1,2",Medium Value
19,3,1859.999533333333,"3,7,1,2",High Value
65,2,1858.6007499999998,"6,5,3,7,1",Medium Value
20,3,1850.4116666666666,"6,5,4,3",High Value
3,3,1850.1175307692304,"7,1,3,2,5",High Value
308,1,1848.7411000000002,"7,4,3",Medium Value
13,3,1846.8072874999998,"6,3,1,7,2",High Value
755,1,1842.14368,"6,3,2",Medium Value
1245,1,1836.4343499999998,"5,4,3,2",Medium Value
751,1,1832.7893333333332,"5,6,3",Medium Value
282,1,1832.6857799999998,"6,1,2",Medium Value
856,1,1829.99125,7,Medium Value
297,1,1829.0904999999998,"3,7",Medium Value
270,1,1823.4913499999998,"4,1",Medium Value
25,2,1816.1572874999997,"7,4,2,3,6,1",Medium Value
1240,1,1814.985333333333,"6,5,3",Medium Value
1430,1,1814.2563499999999,"6,5",Medium Value
605,1,1814.024666666667,"6,3,7",Medium Value
460,1,1813.4541333333334,"6,2",Medium Value
268,1,1802.93085,"3,6",Medium Value
1220,1,1801.3518999999997,"6,1",Medium Value
1003,1,1797.4315,"7,2",Medium Value
354,1,1794.9958,"6,7,3,2",Medium Value
1223,1,1794.7830000000001,"4,2",Medium Value
121,2,1794.561,"3,7",Medium Value
86,2,1793.1424285714288,"6,3,2,1",Medium Value
1120,1,1789.9889249999999,"6,7,2",Medium Value
7,3,1786.7907249999998,"3,2,4,1",High Value
27,2,1786.5164666666667,"6,3,1,2",Medium Value
898,1,1783.7805,"3,7",Medium Value
79,2,1780.5634999999997,"4,2,1,6,5",Medium Value
672,1,1777.75885,"6,3,1,2",Medium Value
1150,1,1772.9841749999998,"6,7,1",Medium Value
893,1,1764.0301,"3,2,6,7",Medium Value
1314,1,1761.2891,"6,4,3",Medium Value
1031,1,1757.4259399999999,"3,1,7,2",Medium Value
1259,1,1756.9815999999998,"6,3,2",Medium Value
1372,1,1755.287175,"6,5,3",Medium Value
512,1,1754.9865,"5,2",Medium Value
1306,1,1752.883,"4,1",Medium Value
14,3,1751.8556222222223,"5,3,1,2,6",High Value
417,1,1751.21025,"6,3",Medium Value
51,2,1750.0145000000002,"6,4,1",Medium Value
1213,1,1748.3183333333334,"6,7,1",Medium Value
907,1,1747.8311999999999,"6,3",Medium Value
432,1,1744.9867000000002,"2,7",Medium Value
713,1,1742.56932,"3,6,7",Medium Value
278,1,1742.2208666666666,6,Medium Value
643,1,1741.5154666666667,"6,4,3",Medium Value
107,1,1740.272925,"6,3",Medium Value
895,1,1732.276225,"6,4,1",Medium Value
823,1,1732.0112,"6,3",Medium Value
59,2,1731.8252000000002,"6,3,1,2,7",Medium Value
218,1,1725.61625,"6,4,3",Medium Value
40,3,1724.0562299999997,"6,3",High Value
1191,1,1719.58595,"6,7",Medium Value
314,1,1718.235925,"6,3,1",Medium Value
135,2,1718.134414285714,"4,6,2,7,3",Medium Value
276,1,1716.7346,"5,3,1",Medium Value
272,1,1712.2525400000002,"6,4,3,1",Medium Value
866,1,1710.98605,"2,6,7",Medium Value
701,1,1708.9843666666666,"7,3,1",Medium Value
1333,1,1706.87486,"6,5,4,1",Medium Value
1268,1,1705.3213666666668,"3,7,1",Medium Value
490,1,1701.2395,"6,3",Medium Value
165,2,1701.1291571428571,"6,7,1",Medium Value
47,3,1693.56408,"1,2,6,7,5,3",High Value
1344,1,1688.9865,"6,3",Medium Value
779,1,1685.0376666666668,"6,3",Medium Value
104,2,1682.3443,"6,1,7,3",Medium Value
709,1,1679.98585,"5,1",Medium Value
1126,1,1679.63855,"6,1",Medium Value
1374,1,1678.89428,"6,4,3,2",Medium Value
896,1,1678.8584999999998,"6,4,1",Medium Value
1012,1,1678.2115999999999,"6,4,3",Medium Value
1122,1,1675.36375,"7,3,1,2",Medium Value
1295,1,1674.3191333333332,"6,5,2",Medium Value
678,1,1673.9906999999998,6,Medium Value
533,1,1673.01595,"7,2",Medium Value
1322,1,1671.6545666666668,"6,5",Medium Value
1290,1,1667.28338,"6,3,1",Medium Value
848,1,1663.988833333333,"6,3",Medium Value
60,2,1653.2215666666668,"6,1,3",Medium Value
731,1,1652.981,6,Medium Value
1177,1,1651.0867,"3,4",Medium Value
185,1,1645.38575,"6,2",Medium Value
420,1,1640.9060400000003,"6,2,4",Medium Value
990,1,1640.1453400000003,"6,3,2",Medium Value
216,1,1637.3856666666668,"6,4,3",Medium Value
1359,1,1635.76555,"6,4,2",Medium Value
954,1,1634.99135,"5,3",Medium Value
603,1,1630.1218000000001,"6,4,3",Medium Value
637,1,1625.58938,"3,7,2",Medium Value
773,1,1624.6519,6,Medium Value
479,1,1621.9901,"6,3,7",Medium Value
440,1,1621.322666666667,"5,6,7",Medium Value
371,1,1619.991,6,Medium Value
1076,1,1619.991,6,Medium Value
1309,1,1619.991,6,Medium Value
568,1,1619.986,"6,3,1,2",Medium Value
173,1,1614.4662,"6,3",Medium Value
1435,1,1613.9312999999997,"6,4,3,1",Medium Value
1154,1,1613.6955,"1,6",Medium Value
991,1,1612.4249,"6,5,3",Medium Value
348,1,1611.592,"6,3",Medium Value
1408,1,1609.7274999999997,"3,6,4",Medium Value
231,2,1607.7348624999997,"6,3,2,1,4",Medium Value
1024,1,1603.138675,"7,3,1",Medium Value
1148,1,1601.8064200000001,"6,5,3,1",Medium Value
445,1,1599.9840000000002,6,Medium Value
1327,1,1599.9840000000002,6,Medium Value
429,1,1597.041,"3,5",Medium Value
878,1,1596.9878,"2,4,3,1",Medium Value
748,1,1595.736375,"6,7,3,1",Medium Value
687,1,1594.2452199999998,"1,6,5",Medium Value
80,2,1593.889683333333,"6,4,3,2",Medium Value
1378,1,1592.0148,"4,3",Medium Value
23,2,1591.9878333333334,3,Medium Value
1252,1,1590.77025,"6,3",Medium Value
1242,1,1587.4877,"6,1",Medium Value
728,1,1583.76892,"6,4,2",Medium Value
765,1,1579.0881333333334,"3,6,5",Medium Value
1106,1,1576.7820000000002,7,Medium Value
727,1,1571.0480999999997,"6,3,1",Medium Value
478,1,1566.6875666666665,"7,3,1",Medium Value
396,1,1566.6518999999998,"5,3,2",Medium Value
581,1,1564.80802,"5,3,1",Medium Value
1032,1,1560.74085,"6,3",Medium Value
102,1,1560.566,"4,1",Medium Value
877,1,1556.68438,"1,6,2",Medium Value
500,1,1549.1610999999998,"3,7,1",Medium Value
952,1,1548.3043333333333,"6,5,1",Medium Value
146,1,1545.8906,"6,4,3",Medium Value
68,3,1543.2327714285714,"6,1,4,3",High Value
194,2,1540.0150875000002,"6,5,4,2,7,1",Medium Value
742,1,1539.252666666667,"6,2",Medium Value
1135,1,1537.734175,"3,1,7",Medium Value
712,1,1532.99125,"5,1",Medium Value
859,1,1531.86762,"3,2,6,7,5",Medium Value
123,2,1531.5312555555556,"7,4,3,6,5,2",Medium Value
1030,1,1524.9915,"6,3",Medium Value
199,1,1523.6908999999998,"6,5,3",Medium Value
853,1,1520.23094,"6,3,2",Medium Value
483,1,1519.2,7,Medium Value
1040,1,1517.2372500000001,"6,4,3",Medium Value
1127,1,1516.491,6,Medium Value
787,1,1515.06908,"7,1",Medium Value
1049,1,1513.51595,"6,2",Medium Value
589,1,1512.891,4,Medium Value
