category,store_location,total_revenue,month
Mountain Bikes,Baldwin,82798.39379999999,12
Mountain Bikes,Rowlett,11350.246799999999,01
Mountain Bikes,Rowlett,38349.442599999995,02
Mountain Bikes,Rowlett,28462.531799999997,03
Mountain Bikes,Rowlett,37070.9072,04
Mountain Bikes,Rowlett,22763.9274,05
Mountain Bikes,Rowlett,35646.09859999999,06
Mountain Bikes,Rowlett,7722.1351,07
Mountain Bikes,Rowlett,34303.527899999994,08
Mountain Bikes,Rowlett,54704.0274,09
Mountain Bikes,Rowlett,6824.8204000000005,10
Mountain Bikes,Rowlett,33085.9626,11
Mountain Bikes,Rowlett,6156.038500000001,12
Mountain Bikes,Santa Cruz,76834.43239999999,01
Mountain Bikes,Santa Cruz,39918.4289,02
Mountain Bikes,Santa Cruz,63990.01339999998,03
Mountain Bikes,Santa Cruz,68745.0775,04
Mountain Bikes,Santa Cruz,31056.986400000005,05
Mountain Bikes,Santa Cruz,39878.503399999994,06
Mountain Bikes,Santa Cruz,32094.524199999996,07
Mountain Bikes,Santa Cruz,48251.38189999999,08
Mountain Bikes,Santa Cruz,44051.617300000005,09
Mountain Bikes,Santa Cruz,32694.446099999997,10
Mountain Bikes,Santa Cruz,47802.60970000001,11
Mountain Bikes,Santa Cruz,36929.61979999999,12
Road Bikes,Baldwin,184983.54949999994,01
Road Bikes,Baldwin,87371.90639999999,02
Road Bikes,Baldwin,132280.94169999997,03
Road Bikes,Baldwin,209863.6992999999,04
Road Bikes,Baldwin,70591.99049999999,05
Road Bikes,Baldwin,88240.74560000001,06
Road Bikes,Baldwin,45220.6813,07
Road Bikes,Baldwin,45761.6574,08
Road Bikes,Baldwin,77820.6148,09
Road Bikes,Baldwin,60372.9789,10
Road Bikes,Baldwin,60451.74119999999,11
Road Bikes,Baldwin,77516.7081,12
Road Bikes,Rowlett,14209.325499999999,01
Road Bikes,Rowlett,33805.38829999999,02
Road Bikes,Rowlett,20176.310099999995,03
Road Bikes,Rowlett,52322.85670000001,04
Road Bikes,Rowlett,4799.992,05
Road Bikes,Rowlett,28344.6181,06
Road Bikes,Rowlett,22554.944499999998,08
Road Bikes,Rowlett,20799.96,09
Road Bikes,Rowlett,5579.990699999999,10
Road Bikes,Rowlett,9392.972099999999,11
Road Bikes,Rowlett,5284.6532,12
Road Bikes,Santa Cruz,52936.013399999996,01
Road Bikes,Santa Cruz,33386.88539999999,02
Road Bikes,Santa Cruz,38939.3122,03
Road Bikes,Santa Cruz,91109.74060000002,04
Road Bikes,Santa Cruz,12764.972399999999,05
Road Bikes,Santa Cruz,16379.963,06
Road Bikes,Santa Cruz,18129.965,07
Road Bikes,Santa Cruz,2699.982,08
Road Bikes,Santa Cruz,11449.957,09
Road Bikes,Santa Cruz,22311.9191,11
Road Bikes,Santa Cruz,7241.552,12
