product_id,product_name,original_price,discounted_price,discount,units_sold,total_revenue_before_discount,total_revenue_after_discount
54,Trek Domane SL Disc Frameset - 2017,3199.99,2559.992,0.2,7,22399.93,17919.944000000003
43,Trek Fuel EX 9.8 27.5 Plus - 2017,5299.99,4928.990699999999,0.07,12,63599.88,59147.888399999996
43,Trek Fuel EX 9.8 27.5 Plus - 2017,5299.99,4239.992,0.2,4,21199.96,16959.968
63,Trek Boone Race Shop Limited - 2017,3499.99,2799.992,0.2,6,20999.94,16799.952
62,Trek Boone 7 - 2017,3499.99,3149.991,0.1,12,41999.87999999999,37799.892
10,Surly Straggler - 2016,1549.0,1440.57,0.07,36,55764.0,51860.52
6,Surly Ice Cream Truck Frameset - 2016,469.99,375.992,0.2,41,19269.589999999993,15415.672000000006
26,Electra Townie Original 7D EQ - 2016,599.99,479.992,0.2,32,19199.68,15359.744000000004
61,Trek Powerfly 8 FS Plus - 2017,4999.99,4749.9905,0.05,15,74999.84999999999,71249.8575
8,Trek Remedy 29 Carbon Frameset - 2016,1799.99,1709.9904999999999,0.05,41,73799.59000000001,70109.6105
8,Trek Remedy 29 Carbon Frameset - 2016,1799.99,1673.9906999999998,0.07,28,50399.72,46871.73959999999
61,Trek Powerfly 8 FS Plus - 2017,4999.99,4649.990699999999,0.07,10,49999.899999999994,46499.90699999999
58,Trek Madone 9.2 - 2017,4999.99,4499.991,0.1,7,34999.92999999999,31499.937
184,Trek Domane SL 6 Disc - 2018,3499.99,2799.992,0.2,5,17499.949999999997,13999.960000000001
15,Electra Moto 1 - 2016,529.99,423.992,0.2,33,17489.669999999995,13991.736000000004
45,Haro SR 1.2 - 2017,869.99,695.9920000000001,0.2,20,17399.8,13919.840000000002
60,Sun Bicycles ElectroLite - 2017,1559.99,1247.9920000000002,0.2,11,17159.89,13727.912000000002
12,Electra Townie Original 21D - 2016,549.99,439.992,0.2,31,17049.69,13639.752000000004
25,Electra Townie Original 7D - 2015/2016,499.99,399.992,0.2,34,16999.659999999996,13599.728000000005
56,Trek Domane SLR 6 Disc - 2017,5499.99,4949.991,0.1,6,32999.939999999995,29699.946000000004
10,Surly Straggler - 2016,1549.0,1471.55,0.05,40,61960.0,58862.0
56,Trek Domane SLR 6 Disc - 2017,5499.99,5224.9905,0.05,11,60499.88999999999,57474.8955
61,Trek Powerfly 8 FS Plus - 2017,4999.99,3999.992,0.2,3,14999.97,11999.976
140,Trek Remedy 9.8 27.5 - 2018,4999.99,3999.992,0.2,3,14999.97,11999.976
51,Trek Silque SLR 8 Women's - 2017,6499.99,6174.9905,0.05,9,58499.90999999999,55574.9145
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,299.99,239.99200000000002,0.2,48,14399.519999999993,11519.616000000005
40,Trek Fuel EX 9.8 29 - 2017,4999.99,4649.990699999999,0.07,8,39999.92,37199.925599999995
63,Trek Boone Race Shop Limited - 2017,3499.99,3149.991,0.1,8,27999.92,25199.928
188,Trek XM700+ Lowstep - 2018,3499.99,2799.992,0.2,4,13999.96,11199.968
28,Surly Karate Monkey 27.5+ Frameset - 2017,2499.99,2249.991,0.1,11,27499.889999999996,24749.901
50,Trek Silque SLR 7 Women's - 2017,5999.99,5699.9905,0.05,9,53999.91,51299.9145
24,Electra Townie Original 21D - 2016,549.99,494.99100000000004,0.1,48,26399.520000000004,23759.56800000001
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,449.0,359.20000000000005,0.2,29,13021.0,10416.8
19,Pure Cycles William 3-Speed - 2016,449.0,359.20000000000005,0.2,29,13021.0,10416.800000000001
29,Trek X-Caliber 8 - 2017,999.99,799.9920000000001,0.2,13,12999.869999999999,10399.896
55,Trek Domane S 6 - 2017,2699.99,2429.991,0.1,9,24299.91,21869.918999999998
50,Trek Silque SLR 7 Women's - 2017,5999.99,5399.991,0.1,4,23999.96,21599.964
57,Trek Emonda S 5 - 2017,1999.99,1599.9920000000002,0.2,6,11999.94,9599.952000000001
47,Trek Remedy 9.8 - 2017,5299.99,5034.9905,0.05,9,47699.90999999999,45314.9145
12,Electra Townie Original 21D - 2016,549.99,494.99100000000004,0.1,43,23649.570000000003,21284.61300000001
22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,215.99200000000002,0.2,43,11609.569999999994,9287.656000000004
24,Electra Townie Original 21D - 2016,549.99,439.992,0.2,21,11549.789999999997,9239.832000000002
3,Surly Wednesday Frameset - 2016,999.99,899.991,0.1,23,22999.770000000004,20699.792999999998
11,Surly Straggler 650b - 2016,1680.99,1596.9405,0.05,27,45386.73000000001,43117.3935
2,Ritchey Timberwolf Frameset - 2016,749.99,674.991,0.1,30,22499.699999999997,20249.730000000003
5,Heller Shagamaw Frame - 2016,1320.99,1254.9405,0.05,34,44913.66000000002,42667.977000000006
63,Trek Boone Race Shop Limited - 2017,3499.99,3254.9906999999994,0.07,9,31499.909999999996,29294.91629999999
49,Trek Domane SL 6 - 2017,3499.99,3254.9906999999994,0.07,9,31499.91,29294.916299999997
17,Pure Cycles Vine 8-Speed - 2016,429.0,343.20000000000005,0.2,25,10725.0,8579.999999999998
194,Trek XM700+ - 2018,3499.99,2799.992,0.2,3,10499.97,8399.976
36,Surly Troll Frameset - 2017,832.99,749.691,0.1,25,20824.75,18742.275
59,Trek Domane S 5 Disc - 2017,2599.99,2339.991,0.1,8,20799.92,18719.928
58,Trek Madone 9.2 - 2017,4999.99,4749.9905,0.05,8,39999.92,37999.924
153,Trek Domane SL 7 Women's - 2018,4999.99,3999.992,0.2,2,9999.98,7999.984
203,Trek Powerfly 7 FS - 2018,4999.99,3999.992,0.2,2,9999.98,7999.984
120,Trek Fuel EX 7 29 - 2018,2499.99,1999.992,0.2,4,9999.96,7999.968
16,Electra Townie Original 7D EQ - 2016,599.99,539.991,0.1,33,19799.669999999995,17819.702999999998
46,Haro SR 1.3 - 2017,1409.99,1127.992,0.2,7,9869.93,7895.9439999999995
3,Surly Wednesday Frameset - 2016,999.99,929.9907,0.07,28,27999.720000000005,26039.739599999997
156,Trek Domane SL Frameset - 2018,6499.99,5849.991,0.1,3,19499.97,17549.972999999998
13,Electra Cruiser 1 (24-Inch) - 2016,269.99,215.99200000000002,0.2,36,9719.639999999996,7775.712000000003
5,Heller Shagamaw Frame - 2016,1320.99,1228.5207,0.07,21,27740.790000000005,25798.934700000005
54,Trek Domane SL Disc Frameset - 2017,3199.99,2879.991,0.1,6,19199.94,17279.946
173,Trek Domane ALR Frameset - 2018,3199.99,2559.992,0.2,3,9599.97,7679.976000000001
15,Electra Moto 1 - 2016,529.99,476.99100000000004,0.1,36,19079.639999999996,17171.676000000003
47,Trek Remedy 9.8 - 2017,5299.99,4928.990699999999,0.07,5,26499.949999999997,24644.953499999996
43,Trek Fuel EX 9.8 27.5 Plus - 2017,5299.99,5034.9905,0.05,7,37099.92999999999,35244.9335
3,Surly Wednesday Frameset - 2016,999.99,949.9905,0.05,37,36999.63,35149.6485
82,Electra Amsterdam Original 3i Ladies' - 2017,659.99,527.9920000000001,0.2,14,9239.859999999999,7391.888000000002
196,Trek Verve+ - 2018,2299.99,1839.992,0.2,4,9199.96,7359.968
197,Trek Verve+ Lowstep - 2018,2299.99,1839.992,0.2,4,9199.96,7359.968
6,Surly Ice Cream Truck Frameset - 2016,469.99,422.99100000000004,0.1,39,18329.609999999997,16496.649
169,Trek Emonda SLR 8 - 2018,6499.99,6044.990699999999,0.07,4,25999.96,24179.962799999998
186,Trek CrossRip+ - 2018,4499.99,3599.992,0.2,2,8999.98,7199.984
252,Electra Townie Commute Go! Ladies' - 2018,2999.99,2399.9919999999997,0.2,3,8999.97,7199.975999999999
39,Trek Stache 5 - 2017,1499.99,1199.992,0.2,6,8999.94,7199.951999999999
48,Trek Emonda S 4 - 2017,1499.99,1349.991,0.1,12,17999.88,16199.892
48,Trek Emonda S 4 - 2017,1499.99,1199.992,0.2,6,8999.94,7199.952
27,Surly Big Dummy Frameset - 2017,999.99,799.9920000000001,0.2,9,8999.91,7199.928000000001
41,Haro Shift R3 - 2017,1469.99,1175.992,0.2,6,8819.94,7055.951999999999
40,Trek Fuel EX 9.8 29 - 2017,4999.99,4749.9905,0.05,7,34999.93,33249.9335
49,Trek Domane SL 6 - 2017,3499.99,3149.991,0.1,5,17499.949999999997,15749.955
194,Trek XM700+ - 2018,3499.99,3149.991,0.1,5,17499.949999999997,15749.955
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,215.99200000000002,0.2,32,8639.679999999997,6911.744000000003
62,Trek Boone 7 - 2017,3499.99,3254.9906999999994,0.07,7,24499.93,22784.934899999997
20,Electra Townie Original 7D EQ - Women's - 2016,599.99,539.991,0.1,28,16799.719999999998,15119.748
207,Trek Boone 7 Disc - 2018,3999.99,3599.991,0.1,4,15999.96,14399.964
207,Trek Boone 7 Disc - 2018,3999.99,3199.992,0.2,2,7999.98,6399.984
25,Electra Townie Original 7D - 2015/2016,499.99,449.99100000000004,0.1,32,15999.679999999995,14399.712000000001
47,Trek Remedy 9.8 - 2017,5299.99,4769.991,0.1,3,15899.97,14309.973
2,Ritchey Timberwolf Frameset - 2016,749.99,697.4907,0.07,30,22499.700000000004,20924.720999999998
81,Electra Amsterdam Fashion 7i Ladies' - 2017,1099.99,879.9920000000001,0.2,7,7699.93,6159.944
128,Surly ECR 27.5 - 2018,1899.0,1519.2,0.2,4,7596.0,6076.8
204,Trek Super Commuter+ 7 - 2018,3599.99,3347.9906999999994,0.07,6,21599.94,20087.944199999998
55,Trek Domane S 6 - 2017,2699.99,2510.9907,0.07,8,21599.92,20087.9256
12,Electra Townie Original 21D - 2016,549.99,511.49069999999995,0.07,39,21449.609999999997,19948.137300000002
149,Trek Domane SLR 8 Disc - 2018,7499.99,5999.992,0.2,1,7499.99,5999.992
203,Trek Powerfly 7 FS - 2018,4999.99,4749.9905,0.05,6,29999.94,28499.943
17,Pure Cycles Vine 8-Speed - 2016,429.0,386.1,0.1,34,14586.0,13127.400000000005
204,Trek Super Commuter+ 7 - 2018,3599.99,2879.992,0.2,2,7199.98,5759.984
54,Trek Domane SL Disc Frameset - 2017,3199.99,3039.9904999999994,0.05,9,28799.91,27359.914499999995
26,Electra Townie Original 7D EQ - 2016,599.99,569.9905,0.05,47,28199.530000000002,26789.553499999998
49,Trek Domane SL 6 - 2017,3499.99,3324.9904999999994,0.05,8,27999.92,26599.923999999995
185,Trek Conduit+ - 2018,2799.99,2519.991,0.1,5,13999.949999999999,12599.955
28,Surly Karate Monkey 27.5+ Frameset - 2017,2499.99,2324.9907,0.07,8,19999.92,18599.9256
57,Trek Emonda S 5 - 2017,1999.99,1799.991,0.1,7,13999.93,12599.937
42,Trek Fuel EX 5 27.5 Plus - 2017,2299.99,2069.991,0.1,6,13799.939999999999,12419.946
26,Electra Townie Original 7D EQ - 2016,599.99,539.991,0.1,23,13799.769999999997,12419.793
28,Surly Karate Monkey 27.5+ Frameset - 2017,2499.99,2374.9905,0.05,11,27499.889999999996,26124.8955
55,Trek Domane S 6 - 2017,2699.99,2564.9905,0.05,10,26999.9,25649.905
6,Surly Ice Cream Truck Frameset - 2016,469.99,437.09069999999997,0.07,41,19269.589999999997,17920.7187
24,Electra Townie Original 21D - 2016,549.99,511.49069999999995,0.07,35,19249.649999999998,17902.174500000005
26,Electra Townie Original 7D EQ - 2016,599.99,557.9907,0.07,32,19199.679999999997,17855.702400000002
25,Electra Townie Original 7D - 2015/2016,499.99,464.9907,0.07,38,18999.62,17669.646600000004
31,Surly Wednesday - 2017,1632.99,1306.392,0.2,4,6531.96,5225.568
142,Trek Fuel EX 8 29 XT - 2018,3199.99,2879.991,0.1,4,12799.96,11519.964
171,Trek Domane SL 6 - 2018,3199.99,2879.991,0.1,4,12799.96,11519.964
172,Trek Domane ALR Disc Frameset - 2018,3199.99,2559.992,0.2,2,6399.98,5119.984
160,Trek Emonda SLR 6 - 2018,4499.99,4184.990699999999,0.07,4,17999.96,16739.962799999998
16,Electra Townie Original 7D EQ - 2016,599.99,569.9905,0.05,42,25199.58000000001,23939.601
41,Haro Shift R3 - 2017,1469.99,1396.4904999999999,0.05,17,24989.83,23740.338499999998
210,Surly Straggler - 2018,1549.0,1239.2,0.2,4,6196.0,4956.8
52,Surly Steamroller - 2017,875.99,700.792,0.2,7,6131.93,4905.544
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,449.0,417.57,0.07,39,17511.0,16285.229999999994
13,Electra Cruiser 1 (24-Inch) - 2016,269.99,242.991,0.1,45,12149.549999999994,10934.595000000001
198,Electra Townie Commute Go! - 2018,2999.99,2399.9919999999997,0.2,2,5999.98,4799.9839999999995
162,Trek Emonda SL 6 Disc - 2018,2999.99,2699.991,0.1,4,11999.96,10799.964
48,Trek Emonda S 4 - 2017,1499.99,1424.9904999999999,0.05,16,23999.840000000004,22799.847999999998
30,Surly Ice Cream Truck Frameset - 2017,999.99,799.9920000000001,0.2,6,5999.9400000000005,4799.952
124,Surly Krampus - 2018,1499.0,1199.2,0.2,4,5996.0,4796.8
21,Electra Cruiser 1 (24-Inch) - 2016,269.99,215.99200000000002,0.2,22,5939.779999999999,4751.8240000000005
15,Electra Moto 1 - 2016,529.99,492.8907,0.07,32,16959.679999999997,15772.5024
17,Pure Cycles Vine 8-Speed - 2016,429.0,398.96999999999997,0.07,39,16731.0,15559.829999999998
108,Sun Bicycles Cruz 3 - Women's - 2017,449.99,359.992,0.2,13,5849.869999999999,4679.896000000001
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,449.0,404.1,0.1,26,11674.0,10506.600000000002
16,Electra Townie Original 7D EQ - 2016,599.99,557.9907,0.07,27,16199.729999999996,15065.748900000002
14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,242.991,0.1,42,11339.579999999994,10205.622000000001
33,Surly Wednesday Frameset - 2017,469.99,375.992,0.2,12,5639.879999999999,4511.904
149,Trek Domane SLR 8 Disc - 2018,7499.99,7124.9905,0.05,3,22499.97,21374.9715
19,Pure Cycles William 3-Speed - 2016,449.0,404.1,0.1,25,11225.0,10102.500000000004
85,Haro Downtown 16 - 2017,329.99,263.992,0.2,17,5609.83,4487.8640000000005
189,Trek Lift+ Lowstep - 2018,2799.99,2239.9919999999997,0.2,2,5599.98,4479.9839999999995
193,Trek Lift+ - 2018,2799.99,2239.9919999999997,0.2,2,5599.98,4479.9839999999995
22,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,242.991,0.1,41,11069.589999999995,9962.631000000001
103,Sun Bicycles Streamway 3 - 2017,551.99,441.59200000000004,0.2,10,5519.9,4415.92
148,Trek Domane SL 8 Disc - 2018,5499.99,4399.992,0.2,1,5499.99,4399.992
12,Electra Townie Original 21D - 2016,549.99,522.4905,0.05,40,21999.600000000002,20899.62
25,Electra Townie Original 7D - 2015/2016,499.99,474.9905,0.05,44,21999.559999999994,20899.582
60,Sun Bicycles ElectroLite - 2017,1559.99,1403.991,0.1,7,10919.93,9827.937
6,Surly Ice Cream Truck Frameset - 2016,469.99,446.4905,0.05,46,21619.539999999997,20538.563
163,Surly Pack Rat - 2018,1349.0,1079.2,0.2,4,5396.0,4316.8
100,Electra Townie 3i EQ (20-inch) - Boys' - 2017,489.99,391.992,0.2,11,5389.889999999999,4311.912
19,Pure Cycles William 3-Speed - 2016,449.0,417.57,0.07,34,15266.0,14197.379999999996
70,Electra Amsterdam Original 3i - 2015/2017,659.99,527.9920000000001,0.2,8,5279.92,4223.936000000001
63,Trek Boone Race Shop Limited - 2017,3499.99,3324.9904999999994,0.05,6,20999.94,19949.942999999996
252,Electra Townie Commute Go! Ladies' - 2018,2999.99,2849.9905,0.05,7,20999.93,19949.9335
73,Sun Bicycles Brickell Tandem 7 - 2017,749.99,599.9920000000001,0.2,7,5249.93,4199.944
20,Electra Townie Original 7D EQ - Women's - 2016,599.99,557.9907,0.07,25,14999.749999999996,13949.767500000002
65,Sun Bicycles Lil Bolt Type-R - 2017,346.99,277.59200000000004,0.2,15,5204.85,4163.880000000001
131,Heller Bloodhound Trail - 2018,2599.0,2079.2000000000003,0.2,2,5198.0,4158.400000000001
137,Heller Shagamaw GX1 - 2018,2599.0,2079.2000000000003,0.2,2,5198.0,4158.400000000001
81,Electra Amsterdam Fashion 7i Ladies' - 2017,1099.99,1022.9907,0.07,13,14299.869999999999,13298.8791
146,Trek Domane SLR 6 - 2018,4999.99,3999.992,0.2,1,4999.99,3999.992
205,Trek Super Commuter+ 8S - 2018,4999.99,4749.9905,0.05,4,19999.96,18999.962
205,Trek Super Commuter+ 8S - 2018,4999.99,4499.991,0.1,2,9999.98,8999.982
122,Surly Troll Frameset - 2018,2499.99,1999.992,0.2,2,4999.98,3999.984
152,Trek Domane SL 5 Disc Women's - 2018,2499.99,1999.992,0.2,2,4999.98,3999.984
165,Trek 1120 - 2018,2499.99,1999.992,0.2,2,4999.98,3999.984
182,Trek Domane SL 5 Disc - 2018,2499.99,1999.992,0.2,2,4999.98,3999.984
36,Surly Troll Frameset - 2017,832.99,666.392,0.2,6,4997.9400000000005,3998.352
72,Sun Bicycles Biscayne Tandem 7 - 2017,619.99,495.992,0.2,8,4959.92,3967.936
81,Electra Amsterdam Fashion 7i Ladies' - 2017,1099.99,989.991,0.1,9,9899.91,8909.919
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,299.99,269.99100000000004,0.1,33,9899.669999999996,8909.703000000001
46,Haro SR 1.3 - 2017,1409.99,1311.2907,0.07,10,14099.9,13112.907
2,Ritchey Timberwolf Frameset - 2016,749.99,712.4905,0.05,26,19499.74,18524.753
104,Sun Bicycles Streamway - 2017,481.99,385.59200000000004,0.2,10,4819.9,3855.9200000000005
105,Sun Bicycles Streamway 7 - 2017,533.99,427.192,0.2,9,4805.91,3844.728
77,Electra Glam Punk 3i Ladies' - 2017,799.99,639.9920000000001,0.2,6,4799.9400000000005,3839.952
20,Electra Townie Original 7D EQ - Women's - 2016,599.99,569.9905,0.05,32,19199.679999999997,18239.696
15,Electra Moto 1 - 2016,529.99,503.4905,0.05,36,19079.64,18125.658
21,Electra Cruiser 1 (24-Inch) - 2016,269.99,251.0907,0.07,49,13229.509999999993,12303.444300000001
180,Trek Domane AL 3 Women's - 2018,919.99,735.9920000000001,0.2,5,4599.950000000001,3679.96
31,Surly Wednesday - 2017,1632.99,1518.6807,0.07,8,13063.92,12149.4456
78,Sun Bicycles Biscayne Tandem CB - 2017,647.99,518.392,0.2,7,4535.93,3628.7440000000006
150,Trek Emonda SL 7 - 2018,4499.99,3599.992,0.2,1,4499.99,3599.992
198,Electra Townie Commute Go! - 2018,2999.99,2699.991,0.1,3,8999.97,8099.973
209,Trek Crockett 7 Disc - 2018,2999.99,2699.991,0.1,3,8999.97,8099.973
251,Electra Townie Commute Go! - 2018,2999.99,2699.991,0.1,3,8999.97,8099.973
18,Pure Cycles Western 3-Speed - Women's - 2015/2016,449.0,426.54999999999995,0.05,40,17960.0,17062.0
142,Trek Fuel EX 8 29 XT - 2018,3199.99,2975.9906999999994,0.07,4,12799.96,11903.962799999998
24,Electra Townie Original 21D - 2016,549.99,522.4905,0.05,32,17599.679999999997,16719.696
62,Trek Boone 7 - 2017,3499.99,3324.9904999999994,0.05,5,17499.949999999997,16624.952499999996
45,Haro SR 1.2 - 2017,869.99,809.0907,0.07,14,12179.859999999999,11327.269799999998
155,Trek Domane SLR 9 Disc - 2018,11999.99,11159.990699999998,0.07,1,11999.99,11159.990699999998
48,Trek Emonda S 4 - 2017,1499.99,1394.9906999999998,0.07,8,11999.92,11159.9256
91,Trek Precaliber 24 (21-Speed) - Girls - 2017,349.99,279.992,0.2,12,4199.88,3359.9040000000005
21,Electra Cruiser 1 (24-Inch) - 2016,269.99,242.991,0.1,31,8369.689999999997,7532.7210000000005
109,Sun Bicycles Cruz 7 - Women's - 2017,416.99,333.59200000000004,0.2,10,4169.9,3335.9200000000005
35,Sun Bicycles Spider 3i - 2017,832.99,666.392,0.2,5,4164.95,3331.96
101,Electra Townie 7D (20-inch) - Boys' - 2017,339.99,271.992,0.2,12,4079.8800000000006,3263.904
106,Sun Bicycles Cruz 3 - 2017,449.99,359.992,0.2,9,4049.91,3239.928
42,Trek Fuel EX 5 27.5 Plus - 2017,2299.99,2184.9905,0.05,7,16099.929999999998,15294.9335
42,Trek Fuel EX 5 27.5 Plus - 2017,2299.99,2138.9907,0.07,5,11499.949999999999,10694.9535
300,Electra Townie Balloon 3i EQ Ladies' - 2018,799.99,639.9920000000001,0.2,5,3999.9500000000003,3199.96
52,Surly Steamroller - 2017,875.99,788.3910000000001,0.1,9,7883.91,7095.519
190,Trek Dual Sport+ - 2018,2799.99,2603.9907,0.07,4,11199.96,10415.9628
98,Electra Straight 8 3i (20-inch) - Boy's - 2017,489.99,391.992,0.2,8,3919.92,3135.936
64,Electra Townie Original 7D - 2017,489.99,391.992,0.2,8,3919.9199999999996,3135.936
59,Trek Domane S 5 Disc - 2017,2599.99,2469.9905,0.05,6,15599.939999999999,14819.943
23,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,299.99,278.9907,0.07,37,11099.629999999996,10322.655900000002
27,Surly Big Dummy Frameset - 2017,999.99,929.9907,0.07,11,10999.89,10229.8977
60,Sun Bicycles ElectroLite - 2017,1559.99,1450.7907,0.07,7,10919.93,10155.534899999999
80,Sun Bicycles Brickell Tandem CB - 2017,761.99,609.592,0.2,5,3809.95,3047.96
33,Surly Wednesday Frameset - 2017,469.99,422.99100000000004,0.1,16,7519.839999999998,6767.856000000001
17,Pure Cycles Vine 8-Speed - 2016,429.0,407.54999999999995,0.05,35,15015.0,14264.249999999998
153,Trek Domane SL 7 Women's - 2018,4999.99,4749.9905,0.05,3,14999.97,14249.9715
39,Trek Stache 5 - 2017,1499.99,1349.991,0.1,5,7499.950000000001,6749.955
30,Surly Ice Cream Truck Frameset - 2017,999.99,949.9905,0.05,15,14999.849999999999,14249.8575
35,Sun Bicycles Spider 3i - 2017,832.99,749.691,0.1,9,7496.91,6747.219000000001
13,Electra Cruiser 1 (24-Inch) - 2016,269.99,251.0907,0.07,39,10529.609999999995,9792.537300000005
188,Trek XM700+ Lowstep - 2018,3499.99,3254.9906999999994,0.07,3,10499.97,9764.972099999999
41,Haro Shift R3 - 2017,1469.99,1322.991,0.1,5,7349.950000000001,6614.955
41,Haro Shift R3 - 2017,1469.99,1367.0907,0.07,7,10289.93,9569.6349
136,Trek Procaliber 6 - 2018,1799.99,1439.9920000000002,0.2,2,3599.98,2879.9840000000004
145,Trek Domane ALR 5 Disc - 2018,1799.99,1439.9920000000002,0.2,2,3599.98,2879.9840000000004
208,Trek Crockett 5 Disc - 2018,1799.99,1439.9920000000002,0.2,2,3599.98,2879.9840000000004
60,Sun Bicycles ElectroLite - 2017,1559.99,1481.9904999999999,0.05,9,14039.91,13337.914499999999
205,Trek Super Commuter+ 8S - 2018,4999.99,4649.990699999999,0.07,2,9999.98,9299.981399999999
202,Trek Powerfly 5 Women's - 2018,3499.99,3149.991,0.1,2,6999.98,6299.982
57,Trek Emonda S 5 - 2017,1999.99,1899.9904999999999,0.05,7,13999.93,13299.9335
